zone,label,province,patch,cases,deaths,R_T_median,R_T_lower,R_T_upper,forecast_median,forecast_lower,forecast_upper,share_median,share_lower,share_upper
adja,Adja,ituri,Ituri,11,1,,,,0.31007373226072954,0.10498047191036067,0.7691211001801448,0.0007515810202564429,0.00025575991615405175,0.0017503607957924901
ariwara,Ariwara,ituri,Ituri,8,2,0.9925600920845244,0.8026600265813973,1.2737138695580785,0.7058761110867638,0.32138658400706016,1.4358175378687732,0.0017179178543538908,0.0008456582537217235,0.0030802361463563243
aru,Aru,ituri,Ituri,8,6,0.9916440160051596,0.8011635202301065,1.2737134015933196,0.9675579806139789,0.4888303000808895,1.8221408877698422,0.0023151267214878727,0.0012556445988666364,0.0038797898379629705
aungba,Aungba,ituri,Ituri,12,5,0.9923952367814066,0.8026401825365697,1.2737134118961833,0.8811760724888393,0.3931819953495135,1.7142268566817391,0.0021316188635698064,0.0010564355474086066,0.0035797805531009386
bambu,Bambu,ituri,Ituri,179,39,0.9653337311205575,0.6859117760748318,1.384765218462044,9.302156800245045,4.14441678454873,20.638094432211354,0.021705276940113094,0.008430753443327011,0.05118131249151141
boga,Boga,ituri,Ituri,2,2,0.9922049261510042,0.801693996349461,1.2737135843427683,0.613909525596437,0.2590292694559601,1.25193705186162,0.0014307404518648817,0.0006496278319082248,0.002734132703293021
bunia,Bunia,ituri,Ituri,1583,505,1.01414173449384,0.77045829425476,1.368593079215551,117.14158913509928,68.73420268794783,196.8802566259748,0.29120467060184435,0.16733913911329187,0.46427359958617304
damas,Damas,ituri,Ituri,39,9,1.0160813167116678,0.7365580494579116,1.4226638099155078,4.28532489123249,1.443923437110724,11.846208844934367,0.010620738923459544,0.0032353432983265834,0.03235785590570679
drodro,Drodro,ituri,Ituri,15,7,0.992578337413859,0.8026847786593955,1.2737136140046974,1.521080081745506,0.8109198704456596,2.7212627226228823,0.0036398567133776047,0.00221077792135411,0.00584263394671502
fataki,Fataki,ituri,Ituri,78,30,0.9511311415093555,0.6757877508647503,1.3618088339030836,2.058889917444468,0.7938362312866383,5.389168976641751,0.004613534441947119,0.0015860048858050211,0.013367013297196584
gety,Gety,ituri,Ituri,7,3,0.9925976989989598,0.8026671175213657,1.27371372682526,0.8554674247390575,0.38453440350971213,1.769037030589094,0.0020938679600389005,0.0010610911988090193,0.0037262574799974274
kambala,Kambala,ituri,Ituri,2,0,0.9924658446455177,0.8019592366225766,1.2737134748811,0.3944267198131697,0.14981797662207322,0.9291957008904295,0.000973380619595086,0.00037971306426234897,0.0020221798131424685
kilo,Kilo,ituri,Ituri,33,12,0.9715257140539902,0.6931097405969795,1.3992050307670578,0.5956241456607209,0.17383149470966378,2.2783013446477036,0.0014822730362682524,0.0003917593780738405,0.006338018450292668
komanda,Komanda,ituri,Ituri,135,88,1.0076520665355115,0.7411930748593082,1.3787946718514699,34.40089890331147,17.592207820628722,68.99864965658742,0.08571287990186796,0.040110524471586854,0.17640160861920615
lita,Lita,ituri,Ituri,262,130,1.022816520057253,0.7195390649378725,1.4087389658324276,28.798689198785087,13.6215139475285,58.520489281329596,0.06847217803399039,0.030380141636229645,0.148056597501224
logo,Logo,ituri,Ituri,13,5,0.9924035959072459,0.8026403434437317,1.2737134893086766,1.2738908438437102,0.6530718105001452,2.4019207585521976,0.0031034840796907853,0.0017269356533371127,0.00497207756635098
lolwa,Lolwa,ituri,Ituri,31,8,0.996137212861784,0.710849639613564,1.4046904845572312,2.881699259726992,0.9763680270385142,7.722955593294075,0.007071737219467493,0.0022346920655286684,0.020342945993930245
mahagi,Mahagi,ituri,Ituri,4,1,,,,0.39259624392664183,0.14945743566384062,0.9362960892096958,0.0009629120325435432,0.0003892641121716091,0.002039159375341296
mambasa,Mambasa,ituri,Ituri,17,7,0.9923764743980064,0.8014535745184795,1.2737133997195085,1.5576324928874037,0.857781307364324,2.8502518469391154,0.003814390450704303,0.002267579013861297,0.006004904120519426
mandima,Mandima,ituri,Ituri,47,25,1.0063213782182583,0.718731881782163,1.4683990772909519,7.0295562787850985,2.670443235377103,16.947069924151428,0.01738330007876504,0.00602712194957239,0.046813107864956835
mangala,Mangala,ituri,Ituri,313,146,0.9560643591619745,0.6937314203934675,1.324125607550461,26.393806471305503,13.45482161897629,50.859223068920535,0.05976720588193986,0.02986253132336472,0.12569030149668461
