zone,label,province,patch,cases,deaths,R_T_median,R_T_lower,R_T_upper,forecast_median,forecast_lower,forecast_upper,share_median,share_lower,share_upper
mongbwalu,Mongbwalu,ituri,Ituri,663,303,1.067475543482367,0.7731901567680339,1.4329126284637852,42.397139419521224,21.637922058598072,82.70830816017431,0.1135662083271873,0.052634039016595156,0.2267767907341705
nia_nia,Nia-Nia,ituri,Ituri,239,120,0.9941963448411882,0.7022952308115975,1.3827678135281751,15.181590082639477,7.5980203287197225,33.14838284294235,0.035776676854353706,0.01596776390798223,0.08305689641428346
nizi,Nizi,ituri,Ituri,732,273,0.9593494503388855,0.6711079333121103,1.33209433217052,28.637420765453655,14.565443420684606,53.78594279011206,0.06639634543617887,0.029977164974240186,0.1302406462226253
nyankunde,Nyankunde,ituri,Ituri,125,36,0.9786277547424793,0.6804997111392997,1.3799733954641362,1.2188456170436683,0.35153260917572127,3.637273033070748,0.0028200059462976414,0.000749239338747759,0.010209746213326754
rimba,Rimba,ituri,Ituri,11,4,0.9918368181879077,0.802640292077991,1.2737135788752527,0.6805577653417456,0.2977346294164851,1.4526587369699842,0.001671074537024512,0.0007799223296911853,0.003096337490545294
rwampara,Rwampara,ituri,Ituri,1019,349,0.993618347759925,0.7338851692069848,1.3677594067154586,35.16194638923193,18.142533492401427,71.76817174572905,0.08454829250373247,0.040584961817228336,0.17366734855699845
tchomia,Tchomia,ituri,Ituri,71,25,1.044231259844306,0.7387146546646728,1.4844551114341062,8.924169582262786,3.36646719288668,21.463555061765963,0.02324405509261693,0.007766840289153946,0.06739669694216993
beni,Beni,nord_kivu,Nord-Kivu,228,166,1.098129764125923,0.8148848588303913,1.488423075934348,73.0406472624909,40.861072599240046,133.02107638746335,0.2588079160704362,0.13619505444187494,0.4250133277378897
biena,Biena,nord_kivu,Nord-Kivu,17,7,1.099156119481675,0.8972064998213432,1.3931649428604098,3.313043113241302,1.7331555372067475,6.05992565368989,0.011304988730754,0.006923710162723057,0.017748344698930014
butembo,Butembo,nord_kivu,Nord-Kivu,239,157,1.077225317846965,0.7789109712628478,1.455806301037503,45.75894501541299,24.206981169113064,85.19615168665914,0.14996126386171482,0.07381947888181291,0.27537841558437376
goma,Goma,nord_kivu,Nord-Kivu,1,0,,,,0.49355112157662895,0.16396161021310723,1.325225578803204,0.001719881341197861,0.0005629375149132292,0.004004643605995258
kalunguta,Kalunguta,nord_kivu,Nord-Kivu,30,12,1.1317965555314173,0.8192720604858262,1.5750662437777054,15.084215396657559,6.651459735970907,38.83761052285397,0.05430856703252854,0.02199862168818404,0.14256815866352923
katwa,Katwa,nord_kivu,Nord-Kivu,523,332,1.0569216392399503,0.776291122577035,1.4354058042059403,68.08744345354575,39.397353025369775,124.2199909795648,0.22364952430901952,0.11530593784931398,0.3883499744376586
kayna,Kayna,nord_kivu,Nord-Kivu,1,0,,,,0.3223430990758641,0.06500093041076942,0.976891446254722,0.0010719678774034958,0.00023160071363812602,0.003164056727659708
kyondo,Kyondo,nord_kivu,Nord-Kivu,30,19,1.1454369361299355,0.8167143055940077,1.5891976763771527,14.881199985634229,6.232568727582756,34.488785479817274,0.05262109648330166,0.02108413949949714,0.13397035838922672
lubero,Lubero,nord_kivu,Nord-Kivu,15,7,1.0991562069102576,0.8981043892780318,1.3931531696670292,3.5387640953094444,1.8226113016167989,6.411247858634714,0.012046328717762754,0.007202533105036782,0.018459755498009312
mabalako,Mabalako,nord_kivu,Nord-Kivu,19,9,1.0991562563618142,0.8972064737867783,1.3931463625754756,4.50519344284797,2.534519764551592,8.188747466017379,0.015630177204461547,0.00985235758794787,0.023176451432245622
manguredjipa,Manguredjipa,nord_kivu,Nord-Kivu,8,3,1.099156224923868,0.8972062921652331,1.3931248458971512,1.9343015596936195,0.9096599119445887,3.818770838671988,0.006630759170919399,0.003416561611842937,0.011315362494424082
masereka,Masereka,nord_kivu,Nord-Kivu,20,8,1.0991561856332872,0.8973213187152591,1.3931481950756892,4.803789576687997,2.5601145601809847,8.542847449234173,0.016410412904389417,0.010552228844237779,0.024787493323703187
musienene,Musienene,nord_kivu,Nord-Kivu,116,63,1.1082846334985685,0.8017747444475515,1.5228702320958913,29.612236333526326,14.568123041706558,56.53275715638666,0.10511131950817312,0.04608714121450411,0.20699515952533704
mutwanga,Mutwanga,nord_kivu,Nord-Kivu,6,2,1.0985384344529299,0.897206031968697,1.393144249461835,1.6334940718651911,0.7236643362913805,3.467193620453594,0.005590944379875117,0.0027445116575022873,0.009793594407996306
oicha,Oicha,nord_kivu,Nord-Kivu,11,7,1.0985515285290384,0.8972060764823618,1.3931464133460296,3.880836840883996,2.0603800508636323,7.04891317976991,0.013038226633599853,0.008179957213210983,0.019807072707765553
vuhovi,Vuhovi,nord_kivu,Nord-Kivu,17,5,1.0985482561676836,0.8972062097972484,1.3931646933065358,4.081427614747614,2.2298047338689395,7.5174664564142795,0.013911217398573497,0.008824070086663508,0.020987994570985984
boma_mangbetu,Boma Mangbetu,haut_uele,Haut-Uele,32,14,0.9262868041756109,0.6017757809718632,1.3950388670551004,1.8581677639464989,0.6056061102230395,5.20281138998241,0.051186591737890856,0.015790491343688658,0.1501304967755684
gombari,Gombari,haut_uele,Haut-Uele,3,1,,,,0.3076952039229362,0.09664572445243146,0.7580681746816252,0.00897855118862246,0.0029262503045350777,0.019158934212272247
isiro,Isiro,haut_uele,Haut-Uele,97,41,0.9167375776634552,0.5958235788660358,1.3261701786678866,7.705085746779101,3.238136290627679,16.391890670199366,0.21567431673294435,0.08970973626992948,0.4228653033941082
pawa,Pawa,haut_uele,Haut-Uele,58,25,0.9922868036474077,0.7131314125487581,1.324413557557334,15.6515448802834,8.006332623784841,29.895076300707412,0.5045927378244968,0.27760581805141116,0.7351125321054043
rungu,Rungu,haut_uele,Haut-Uele,2,1,,,,0.23633220167177255,0.06926464026272537,0.6416457378921215,0.006887002017027834,0.0022596538391583794,0.015070487885105026
wamba,Wamba,haut_uele,Haut-Uele,89,33,0.9324279050013304,0.610366220116608,1.373599235748315,6.094384826164838,2.6184332749843007,13.787440071429364,0.17333050500019337,0.07274701457968992,0.3582962871323669
miti_murhesa,Miti-Murhesa,sud_kivu,Other provinces,3,1,,,,0.41444021937468967,0.10495266216351512,1.292918631145997,0.04836063789620933,0.014478933703781812,0.11346788731486496
bafwasende,Bafwasende,tshopo,Other provinces,7,1,1.1324781888743063,0.9311541637087796,1.415694278051875,1.12419329488813,0.435739269727914,2.581497692025607,0.1333326010195398,0.06825833513556084,0.21649752906133662
kabondo,Kabondo,tshopo,Other provinces,4,1,,,,0.888909297094569,0.3321544019301974,2.3031990935593076,0.10283888958039267,0.0468386242594354,0.1939130488510084
lubunga,Lubunga,tshopo,Other provinces,1,0,,,,0.28973067459116286,0.06462838656549612,0.9409686082348233,0.0336480446420067,0.008347181317426636,0.08359266341128761
makiso_kisangani,Makiso-Kisangani,tshopo,Other provinces,10,5,1.1323779670887117,0.9310069114868543,1.415694452840603,2.522875689368945,1.2338153665255003,5.598851437085476,0.2999474076393756,0.20400062897745952,0.4095228615322902
mangobo,Mangobo,tshopo,Other provinces,4,2,,,,0.9101426194740514,0.3349605826309149,2.31427356464912,0.10442845475169305,0.050652300906461604,0.1859799305833609
tshopo,Tshopo,tshopo,Other provinces,1,0,,,,0.15148021751947427,0.020005401556895664,0.5870275767328635,0.0182361388551209,0.002869686342086494,0.05930551314298888
wanie_rukula,Wanie-Rukula,tshopo,Other provinces,1,1,,,,0.2666236215607619,0.06490940238481337,0.8974985406635398,0.03187016722063686,0.009159522002040765,0.0858950484864836
buta,Buta,bas_uele,Other provinces,1,1,,,,0.28544237380590926,0.07322409474755345,0.9204072547889769,0.03321166719805051,0.009635308708248906,0.0833159410797094
ganga,Ganga,bas_uele,Other provinces,3,2,,,,0.7386551304587207,0.2730370301885868,1.979068714165503,0.08626806782043064,0.036738587184277555,0.15984387342158524
viadana,Viadana,bas_uele,Other provinces,1,0,,,,0.14756211003658398,0.025256609993736585,0.5934212434426359,0.018036377181523768,0.003524413658750732,0.05778235091576404
bulu,Bulu,sud_ubangi,Other provinces,1,1,,,,0.28346327942351446,0.05982609572670551,0.9597615117167989,0.03317693331977156,0.00850709064757524,0.08835347179638058
