date,tag,loc_src,loc_models,loc_test,loc_docs_pages,n_streams_fitted
2026-05-20,v1.0.0,1035,0,721,2057,4
2026-05-22,v1.1.0,1398,0,1086,2656,5
2026-05-27,v1.2.0,2017,497,1722,2340,5
2026-06-09,v1.3.0,5700,2480,5053,3529,8
2026-06-09,v1.4.0,5297,2212,3286,3159,6
2026-06-12,v1.5.0,5743,2415,3826,3352,6
2026-06-24,v1.6.0,7582,3496,4918,4077,8
2026-07-04,v1.7.0,8367,3680,5292,4413,8
2026-07-09,v1.8.0,8518,3828,5493,4464,8
2026-07-11,v1.9.0,8518,3827,5493,4464,8
2026-07-20,v1.10.0,8988,4269,5979,4527,8
2026-07-30,v1.11.0,10906,4550,9202,5502,8
2026-08-03,v1.12.0,10914,4556,9202,5508,8
2026-08-05,v1.13.0,12347,5472,10548,5639,9
2026-08-08,V1.13.1,12347,5472,10548,5639,9
2026-08-14,v1.13.2,12347,5472,10550,5639,9
2026-08-24,v1.14.0,12517,5472,11472,5647,9
2026-08-27,v1.15.0,12834,5484,11970,5795,9
2026-09-02,v1.16.0,12891,5484,12018,5835,9
2026-09-04,v1.17.0,13122,5637,12903,5868,9
2026-09-09,v1.18.0,13281,5686,13105,5844,9
2026-09-16,V2.0.0,15622,6672,16139,6523,11
2026-09-18,v2.1.0,18077,6981,19285,7621,11
