tag,tag_date,cutoff,model_version,median,lower90,upper90,source_asset,quantity
v1.0.0,2026-05-20,2026-05-18,closed-form,972,478,2437,posterior_summary.csv;posterior_draws.csv,cumulative_cases
v1.1.0,2026-05-22,2026-05-18,closed-form,925,438,2234,posterior_summary.csv;posterior_draws.csv,cumulative_cases
v1.2.0,2026-05-27,2026-05-23,closed-form,1391,704,3421,posterior_summary.csv;posterior_draws.csv,cumulative_cases
v1.3.0,2026-06-09,2026-06-07,closed-form,4509,3213,7665,posterior_summary.csv;posterior_draws.csv,cumulative_cases
v1.4.0,2026-06-09,2026-06-07,renewal,4161,2345,12421,posterior_summary.csv;posterior_draws.csv,C_T
v1.5.0,2026-06-12,2026-06-10,renewal,4490,2749,9940,posterior_summary.csv;posterior_draws.csv,C_T
v1.6.0,2026-06-24,2026-06-21,renewal,2250,1632,3838,posterior_summary.csv;posterior_draws.csv,C_T
v1.7.0,2026-07-04,2026-07-01,renewal,6430,4239,10875,posterior_summary.csv;posterior_draws.csv,C_T
v1.8.0,2026-07-09,2026-07-06,renewal,4380,3358,6377,posterior_summary.csv;posterior_draws.csv,C_T
v1.9.0,2026-07-11,2026-07-08,renewal,4791,3633,7244,posterior_summary.csv;posterior_draws.csv,C_T
v1.10.0,2026-07-20,2026-07-17,renewal,5224,4065,7935,posterior_summary.csv;posterior_draws.csv,C_T
v1.11.0,2026-07-30,,renewal,,,,,
v1.12.0,2026-08-03,2026-08-01,renewal,7446,5702,11219,posterior_summary.csv;posterior_draws.csv,C_T
v1.13.0,2026-08-05,,renewal,,,,,
V1.13.1,2026-08-08,2026-08-04,renewal,8672,6358,12855,posterior_summary.csv;posterior_draws.csv,C_T
v1.13.2,2026-08-14,2026-08-11,renewal,9147,6991,14550,posterior_summary.csv;posterior_draws.csv,C_T
v1.14.0,2026-08-24,,renewal,,,,,
v1.15.0,2026-08-27,2026-08-25,renewal,12045,8863,18197,posterior_summary.csv;posterior_draws.csv,C_T
v1.16.0,2026-09-02,2026-08-30,renewal,12910,9088,19366,posterior_summary.csv;posterior_draws.csv,C_T
v1.17.0,2026-09-04,2026-09-01,renewal,12100,9061,18724,posterior_summary.csv;posterior_draws.csv,C_T
v1.18.0,2026-09-09,2026-09-06,renewal,13771,9749,19236,posterior_summary.csv;posterior_draws.csv,C_T
V2.0.0,2026-09-16,2026-09-13,provincial,14578,9947,18687,posterior_summary.csv;posterior_draws.csv,C_T
v2.1.0,2026-09-18,2026-09-16,provincial,13314,10106,20113,posterior_summary.csv;posterior_draws.csv,C_T
