zone,label,province,population,lat,lon,zscode
adja,Adja,ituri,126933,3.0353,30.4976,CLboGR4F3lj
ariwara,Ariwara,ituri,314730,3.1840,30.7456,fM8IqjhdeyL
aru,Aru,ituri,329667,2.8323,30.7237,v8PqffapuVl
aungba,Aungba,ituri,216787,2.5767,30.5860,DFcltLEKLxj
bambu,Bambu,ituri,136151,1.8592,30.2194,Uc3GqWS8C0w
boga,Boga,ituri,72028,0.9733,29.9860,rLadlFjzCh7
bunia,Bunia,ituri,509060,1.5994,30.2676,GPi6i83o7l6
damas,Damas,ituri,94820,2.1812,30.1799,ApdB8z3Wrxt
drodro,Drodro,ituri,199996,1.7357,30.5444,OIhgsXcZf6x
fataki,Fataki,ituri,158032,1.9107,30.5570,FDNwbfrJhkA
gety,Gety,ituri,143442,1.2328,30.1585,X8zFJ7DJlRD
kambala,Kambala,ituri,140956,2.3179,30.5139,SkEKQLSulmp
kilo,Kilo,ituri,43139,1.7767,30.0879,sbyWSsdZ3tj
komanda,Komanda,ituri,219948,1.1383,29.6403,i2mtQy4nTmD
lita,Lita,ituri,113364,1.5824,30.3735,xGWcGHazqtw
logo,Logo,ituri,216944,2.1649,30.9229,qqGoQGSp1Dw
lolwa,Lolwa,ituri,41314,1.5183,29.4922,xp3Y1OXHZLj
mahagi,Mahagi,ituri,247893,2.3233,30.9521,seNn0NUsKYn
mambasa,Mambasa,ituri,150807,1.7525,28.8126,RjHZChl5gJQ
mandima,Mandima,ituri,286637,0.8344,28.7880,YpXUkTbtAPA
mangala,Mangala,ituri,89713,1.9363,30.3962,YTZmP8g33YJ
mongbwalu,Mongbwalu,ituri,157714,2.0718,29.6865,nv8tx681Gjd
nia_nia,Nia-Nia,ituri,91756,1.3358,27.9374,tWlaqwSUheI
nizi,Nizi,ituri,129697,1.7491,30.3203,TCE5waEW7Fi
nyankunde,Nyankunde,ituri,94004,1.4790,29.9426,mGTaa8TFifO
rimba,Rimba,ituri,222282,2.2264,30.7525,a2aJcbwnjoK
rwampara,Rwampara,ituri,252324,1.5757,30.1372,vPxN2nZnBXK
tchomia,Tchomia,ituri,83917,1.4683,30.4413,rhj4btTd3i0
beni,Beni,nord_kivu,428854,0.5232,29.5259,msg2MyMGhKv
biena,Biena,nord_kivu,136159,0.2473,28.9973,TtaXlLIpy8b
butembo,Butembo,nord_kivu,289378,0.1442,29.2606,foR0DRLqtdJ
goma,Goma,nord_kivu,282838,-1.6446,29.1676,t8tjGKVhkl3
kalunguta,Kalunguta,nord_kivu,191732,0.3184,29.3317,XoJ3dLz68aj
katwa,Katwa,nord_kivu,612242,0.1156,29.3198,woJBeEpIZdy
kayna,Kayna,nord_kivu,322628,-0.6152,29.1152,ZLgC2OOesbS
kyondo,Kyondo,nord_kivu,270344,0.0062,29.5203,amGiV9h9C2I
lubero,Lubero,nord_kivu,377506,-0.1897,28.9841,oTtGHeQSotN
mabalako,Mabalako,nord_kivu,197136,0.5196,29.1917,svtAZQ9nVl0
manguredjipa,Manguredjipa,nord_kivu,68014,0.3116,28.4435,IyDb5geWMDN
masereka,Masereka,nord_kivu,298636,-0.1088,29.3598,kQCMPbHKQ93
musienene,Musienene,nord_kivu,348392,0.0146,29.0435,VooLsNf0dDB
mutwanga,Mutwanga,nord_kivu,255278,0.2858,29.7069,TnjfqDbxtwP
oicha,Oicha,nord_kivu,274998,0.7613,29.6075,zOOAshOz4Cz
vuhovi,Vuhovi,nord_kivu,151953,0.1834,29.4455,EsZ68sGXB5Y
miti_murhesa,Miti-Murhesa,sud_kivu,303983,-2.3113,28.7752,cXkCT53xxfk
boma_mangbetu,Boma Mangbetu,haut_uele,230104,2.1815,27.7542,qwBasnNFRFW
gombari,Gombari,haut_uele,122901,2.7640,28.8931,h1dItcsoHRw
isiro,Isiro,haut_uele,512401,2.5741,27.3247,lW6NlTXqGcv
pawa,Pawa,haut_uele,301768,2.3245,27.5680,ZxQY9szHMx5
rungu,Rungu,haut_uele,194804,2.8296,27.9630,EGoMVOvVUAp
wamba,Wamba,haut_uele,224757,2.0712,27.8449,ET5R8zSN3gm
bafwasende,Bafwasende,tshopo,132264,0.8725,26.8846,pLBZiohnxFC
kabondo,Kabondo,tshopo,204629,0.6196,25.4332,Al5GBxzCgMe
lubunga,Lubunga,tshopo,154712,0.3825,25.1198,I9d1F9TGn33
makiso_kisangani,Makiso-Kisangani,tshopo,535798,0.5112,25.2460,ZHIrX4z487c
mangobo,Mangobo,tshopo,188652,0.5420,25.1490,wOWB7WbNuSN
tshopo,Tshopo,tshopo,172885,0.9312,25.5494,IMkgSD6FVjc
wanie_rukula,Wanie-Rukula,tshopo,155297,0.1721,25.8353,RowlA1nBHee
buta,Buta,bas_uele,274964,2.6989,24.8947,pggZxV6O3iF
ganga,Ganga,bas_uele,235401,3.0955,25.9780,QU7amTjhWlQ
viadana,Viadana,bas_uele,187873,3.0318,27.3292,joxrJQ6anPt
bulu,Bulu,sud_ubangi,167481,2.4984,20.0007,uCYafBxBtO8
