release,made_date,stream,horizon,target_date,fit,observed,median,lo30,hi30,lo60,hi60,lo90,hi90
results-v1.16.0,2026-05-20,confirmed cases,7,2026-05-27,frozen,61.0,174.0,143.3,217.4,115.6,275.6,64.75,481.5
results-v1.15.0,2026-05-20,confirmed cases,7,2026-05-27,frozen,61.0,170.5,145.65,210.0,116.6,271.2,76.95,499.2
results-1591,2026-05-20,confirmed cases,7,2026-05-27,frozen,61.0,170.5,145.65,210.0,116.6,271.2,76.95,499.2
results-1573,2026-05-20,confirmed cases,7,2026-05-27,frozen,61.0,146.0,109.9,196.0,71.6,313.0,17.0,553.25
results-1527,2026-05-20,confirmed cases,7,2026-05-27,frozen,61.0,146.0,109.9,196.0,71.6,313.0,17.0,553.25
results-1505,2026-05-20,confirmed cases,7,2026-05-27,frozen,61.0,146.0,109.9,196.0,71.6,313.0,17.0,553.25
results-v1.13.2,2026-05-20,confirmed cases,7,2026-05-27,frozen,61.0,146.0,109.9,196.0,71.6,313.0,17.0,553.25
results-1489,2026-05-20,confirmed cases,7,2026-05-27,frozen,61.0,146.0,109.9,196.0,71.6,313.0,17.0,553.25
results-1479,2026-05-20,confirmed cases,7,2026-05-27,frozen,61.0,146.0,109.9,196.0,71.6,313.0,17.0,553.25
results-1469,2026-05-20,confirmed cases,7,2026-05-27,frozen,61.0,146.0,109.9,196.0,71.6,313.0,17.0,553.25
results-1462,2026-05-20,confirmed cases,7,2026-05-27,frozen,61.0,146.0,109.9,196.0,71.6,313.0,17.0,553.25
results-v1.12.0,2026-05-20,confirmed cases,7,2026-05-27,frozen,61.0,165.0,115.0,221.75,76.6,310.2,44.5,607.8
results-1446,2026-05-20,confirmed cases,7,2026-05-27,frozen,61.0,165.0,115.0,221.75,76.6,310.2,44.5,607.8
results-1441,2026-05-20,confirmed cases,7,2026-05-27,frozen,61.0,165.0,115.0,221.75,76.6,310.2,44.5,607.8
results-1394,2026-05-20,confirmed cases,7,2026-05-27,frozen,61.0,161.5,112.65,208.35,78.0,289.0,33.95,580.1
results-1391,2026-05-20,confirmed cases,7,2026-05-27,frozen,61.0,161.5,112.65,208.35,78.0,289.0,33.95,580.1
results-1359,2026-05-20,confirmed cases,7,2026-05-27,frozen,61.0,161.5,112.65,208.35,78.0,289.0,33.95,580.1
results-v1.16.0,2026-05-20,confirmed cases,14,2026-06-03,frozen,317.0,485.0,407.9,553.8,322.6,733.0,230.85,1212.65
results-v1.15.0,2026-05-20,confirmed cases,14,2026-06-03,frozen,317.0,480.5,390.0,615.05,325.0,769.2,223.4,1299.5
results-1591,2026-05-20,confirmed cases,14,2026-06-03,frozen,317.0,480.5,390.0,615.05,325.0,769.2,223.4,1299.5
results-1573,2026-05-20,confirmed cases,14,2026-06-03,frozen,317.0,467.5,318.95,638.7,203.6,911.8,103.3,1950.95
results-1527,2026-05-20,confirmed cases,14,2026-06-03,frozen,317.0,467.5,318.95,638.7,203.6,911.8,103.3,1950.95
results-1505,2026-05-20,confirmed cases,14,2026-06-03,frozen,317.0,467.5,318.95,638.7,203.6,911.8,103.3,1950.95
results-v1.13.2,2026-05-20,confirmed cases,14,2026-06-03,frozen,317.0,467.5,318.95,638.7,203.6,911.8,103.3,1950.95
results-1489,2026-05-20,confirmed cases,14,2026-06-03,frozen,317.0,467.5,318.95,638.7,203.6,911.8,103.3,1950.95
results-1479,2026-05-20,confirmed cases,14,2026-06-03,frozen,317.0,467.5,318.95,638.7,203.6,911.8,103.3,1950.95
results-1469,2026-05-20,confirmed cases,14,2026-06-03,frozen,317.0,467.5,318.95,638.7,203.6,911.8,103.3,1950.95
results-1462,2026-05-20,confirmed cases,14,2026-06-03,frozen,317.0,467.5,318.95,638.7,203.6,911.8,103.3,1950.95
results-v1.12.0,2026-05-20,confirmed cases,14,2026-06-03,frozen,317.0,405.0,288.6,539.1,183.2,752.6,88.85,1382.45
results-1446,2026-05-20,confirmed cases,14,2026-06-03,frozen,317.0,405.0,288.6,539.1,183.2,752.6,88.85,1382.45
results-1441,2026-05-20,confirmed cases,14,2026-06-03,frozen,317.0,405.0,288.6,539.1,183.2,752.6,88.85,1382.45
results-1394,2026-05-20,confirmed cases,14,2026-06-03,frozen,317.0,419.0,321.65,544.55,189.8,842.4,69.8,1782.6
results-1391,2026-05-20,confirmed cases,14,2026-06-03,frozen,317.0,419.0,321.65,544.55,189.8,842.4,69.8,1782.6
results-1359,2026-05-20,confirmed cases,14,2026-06-03,frozen,317.0,419.0,321.65,544.55,189.8,842.4,69.8,1782.6
results-v1.16.0,2026-05-20,confirmed cases,21,2026-06-10,frozen,612.0,962.0,830.95,1240.35,661.8,1682.4,406.8,2966.4
results-v1.15.0,2026-05-20,confirmed cases,21,2026-06-10,frozen,612.0,936.5,724.65,1259.3,558.0,1824.2,349.85,3897.25
results-1591,2026-05-20,confirmed cases,21,2026-06-10,frozen,612.0,936.5,724.65,1259.3,558.0,1824.2,349.85,3897.25
results-1573,2026-05-20,confirmed cases,21,2026-06-10,frozen,612.0,863.0,582.85,1309.3,379.0,2185.6,127.65,4624.1
results-1527,2026-05-20,confirmed cases,21,2026-06-10,frozen,612.0,863.0,582.85,1309.3,379.0,2185.6,127.65,4624.1
results-1505,2026-05-20,confirmed cases,21,2026-06-10,frozen,612.0,863.0,582.85,1309.3,379.0,2185.6,127.65,4624.1
results-v1.13.2,2026-05-20,confirmed cases,21,2026-06-10,frozen,612.0,863.0,582.85,1309.3,379.0,2185.6,127.65,4624.1
results-1489,2026-05-20,confirmed cases,21,2026-06-10,frozen,612.0,863.0,582.85,1309.3,379.0,2185.6,127.65,4624.1
results-1479,2026-05-20,confirmed cases,21,2026-06-10,frozen,612.0,863.0,582.85,1309.3,379.0,2185.6,127.65,4624.1
results-1469,2026-05-20,confirmed cases,21,2026-06-10,frozen,612.0,863.0,582.85,1309.3,379.0,2185.6,127.65,4624.1
results-1462,2026-05-20,confirmed cases,21,2026-06-10,frozen,612.0,863.0,582.85,1309.3,379.0,2185.6,127.65,4624.1
results-v1.12.0,2026-05-20,confirmed cases,21,2026-06-10,frozen,612.0,805.5,538.55,1190.7,347.0,1844.4,133.5,3862.55
results-1446,2026-05-20,confirmed cases,21,2026-06-10,frozen,612.0,805.5,538.55,1190.7,347.0,1844.4,133.5,3862.55
results-1441,2026-05-20,confirmed cases,21,2026-06-10,frozen,612.0,805.5,538.55,1190.7,347.0,1844.4,133.5,3862.55
results-1394,2026-05-20,confirmed cases,21,2026-06-10,frozen,612.0,855.5,622.6,1201.35,419.2,1814.6,153.85,4638.25
results-1391,2026-05-20,confirmed cases,21,2026-06-10,frozen,612.0,855.5,622.6,1201.35,419.2,1814.6,153.85,4638.25
results-1359,2026-05-20,confirmed cases,21,2026-06-10,frozen,612.0,855.5,622.6,1201.35,419.2,1814.6,153.85,4638.25
results-v1.16.0,2026-05-20,confirmed cases,28,2026-06-17,frozen,832.0,1816.0,1515.6,2305.9,1109.4,3292.2,666.2,5904.85
results-v1.15.0,2026-05-20,confirmed cases,28,2026-06-17,frozen,832.0,1825.0,1404.1,2495.7,1044.2,4033.2,638.65,7303.85
results-1591,2026-05-20,confirmed cases,28,2026-06-17,frozen,832.0,1825.0,1404.1,2495.7,1044.2,4033.2,638.65,7303.85
results-1573,2026-05-20,confirmed cases,28,2026-06-17,frozen,832.0,1442.0,834.05,2402.4,497.6,4014.2,159.45,13581.55
results-1527,2026-05-20,confirmed cases,28,2026-06-17,frozen,832.0,1442.0,834.05,2402.4,497.6,4014.2,159.45,13581.55
results-1505,2026-05-20,confirmed cases,28,2026-06-17,frozen,832.0,1442.0,834.05,2402.4,497.6,4014.2,159.45,13581.55
results-v1.13.2,2026-05-20,confirmed cases,28,2026-06-17,frozen,832.0,1442.0,834.05,2402.4,497.6,4014.2,159.45,13581.55
results-1489,2026-05-20,confirmed cases,28,2026-06-17,frozen,832.0,1442.0,834.05,2402.4,497.6,4014.2,159.45,13581.55
results-1479,2026-05-20,confirmed cases,28,2026-06-17,frozen,832.0,1442.0,834.05,2402.4,497.6,4014.2,159.45,13581.55
results-1469,2026-05-20,confirmed cases,28,2026-06-17,frozen,832.0,1442.0,834.05,2402.4,497.6,4014.2,159.45,13581.55
results-1462,2026-05-20,confirmed cases,28,2026-06-17,frozen,832.0,1442.0,834.05,2402.4,497.6,4014.2,159.45,13581.55
results-v1.12.0,2026-05-20,confirmed cases,28,2026-06-17,frozen,832.0,1616.5,1092.0,2428.9,622.6,4130.8,272.3,11305.05
results-1446,2026-05-20,confirmed cases,28,2026-06-17,frozen,832.0,1616.5,1092.0,2428.9,622.6,4130.8,272.3,11305.05
results-1441,2026-05-20,confirmed cases,28,2026-06-17,frozen,832.0,1616.5,1092.0,2428.9,622.6,4130.8,272.3,11305.05
results-1394,2026-05-20,confirmed cases,28,2026-06-17,frozen,832.0,1609.0,1002.75,2591.15,518.2,3491.0,138.3,10960.8
results-1391,2026-05-20,confirmed cases,28,2026-06-17,frozen,832.0,1609.0,1002.75,2591.15,518.2,3491.0,138.3,10960.8
results-1359,2026-05-20,confirmed cases,28,2026-06-17,frozen,832.0,1609.0,1002.75,2591.15,518.2,3491.0,138.3,10960.8
results-v1.16.0,2026-05-23,confirmed cases,7,2026-05-30,baseline,181.0,94.0,91.0,98.0,86.0,103.0,79.95,112.0
results-v1.15.0,2026-05-23,confirmed cases,7,2026-05-30,baseline,181.0,93.0,90.0,96.0,85.8,101.0,77.95,110.0
results-1591,2026-05-23,confirmed cases,7,2026-05-30,baseline,181.0,93.0,89.0,98.0,83.0,101.0,78.0,107.05
results-1573,2026-05-23,confirmed cases,7,2026-05-30,baseline,181.0,93.0,90.0,97.0,86.0,100.0,78.0,108.0
results-1527,2026-05-23,confirmed cases,7,2026-05-30,baseline,181.0,94.0,91.0,98.0,86.0,103.0,78.0,110.05
results-1505,2026-05-23,confirmed cases,7,2026-05-30,baseline,181.0,93.0,90.0,95.35,85.0,99.0,76.0,108.0
results-v1.13.2,2026-05-23,confirmed cases,7,2026-05-30,baseline,181.0,94.0,91.0,98.0,86.0,103.0,78.95,110.0
results-1489,2026-05-23,confirmed cases,7,2026-05-30,baseline,181.0,93.0,90.0,97.0,86.0,100.0,79.95,107.0
results-1479,2026-05-23,confirmed cases,7,2026-05-30,baseline,181.0,92.0,89.0,97.0,85.0,101.2,79.0,108.0
results-1469,2026-05-23,confirmed cases,7,2026-05-30,baseline,181.0,92.5,89.0,97.35,85.0,101.0,78.0,110.0
results-1462,2026-05-23,confirmed cases,7,2026-05-30,baseline,181.0,93.0,90.0,96.0,84.8,100.0,77.0,108.0
results-v1.12.0,2026-05-23,confirmed cases,7,2026-05-30,baseline,181.0,93.0,90.0,96.35,86.0,101.0,79.95,110.05
results-1446,2026-05-23,confirmed cases,7,2026-05-30,baseline,181.0,93.0,89.0,96.35,85.8,101.0,77.0,110.0
results-1441,2026-05-23,confirmed cases,7,2026-05-30,baseline,181.0,92.5,89.0,96.0,86.0,101.0,78.0,108.0
results-1394,2026-05-23,confirmed cases,7,2026-05-30,baseline,181.0,93.0,89.0,96.35,85.0,101.2,78.0,111.05
results-1391,2026-05-23,confirmed cases,7,2026-05-30,baseline,181.0,94.0,89.0,97.0,85.0,101.2,77.95,111.05
results-1359,2026-05-23,confirmed cases,7,2026-05-30,baseline,181.0,93.0,89.0,97.0,85.0,101.0,80.0,109.05
results-v1.16.0,2026-05-23,confirmed cases,7,2026-05-30,frozen,181.0,167.0,142.0,195.35,121.0,230.0,90.8,312.2
results-v1.15.0,2026-05-23,confirmed cases,7,2026-05-30,frozen,181.0,167.5,143.3,208.7,124.8,250.6,89.75,330.1
results-1591,2026-05-23,confirmed cases,7,2026-05-30,frozen,181.0,167.5,143.3,208.7,124.8,250.6,89.75,330.1
