release,made_date,stream,horizon,target_date,fit,observed,median,lo30,hi30,lo60,hi60,lo90,hi90
results-1573,2026-05-23,confirmed cases,7,2026-05-30,frozen,181.0,160.0,118.0,203.0,93.2,267.2,44.95,452.1
results-1527,2026-05-23,confirmed cases,7,2026-05-30,frozen,181.0,160.0,118.0,203.0,93.2,267.2,44.95,452.1
results-1505,2026-05-23,confirmed cases,7,2026-05-30,frozen,181.0,160.0,118.0,203.0,93.2,267.2,44.95,452.1
results-v1.13.2,2026-05-23,confirmed cases,7,2026-05-30,frozen,181.0,160.0,118.0,203.0,93.2,267.2,44.95,452.1
results-1489,2026-05-23,confirmed cases,7,2026-05-30,frozen,181.0,160.0,118.0,203.0,93.2,267.2,44.95,452.1
results-1479,2026-05-23,confirmed cases,7,2026-05-30,frozen,181.0,160.0,118.0,203.0,93.2,267.2,44.95,452.1
results-1469,2026-05-23,confirmed cases,7,2026-05-30,frozen,181.0,160.0,118.0,203.0,93.2,267.2,44.95,452.1
results-1462,2026-05-23,confirmed cases,7,2026-05-30,frozen,181.0,160.0,118.0,203.0,93.2,267.2,44.95,452.1
results-v1.12.0,2026-05-23,confirmed cases,7,2026-05-30,frozen,181.0,167.5,118.65,201.7,77.2,266.0,27.85,390.3
results-1446,2026-05-23,confirmed cases,7,2026-05-30,frozen,181.0,167.5,118.65,201.7,77.2,266.0,27.85,390.3
results-1441,2026-05-23,confirmed cases,7,2026-05-30,frozen,181.0,167.5,118.65,201.7,77.2,266.0,27.85,390.3
results-1394,2026-05-23,confirmed cases,7,2026-05-30,frozen,181.0,140.0,105.6,181.4,70.6,269.0,25.95,402.6
results-1391,2026-05-23,confirmed cases,7,2026-05-30,frozen,181.0,140.0,105.6,181.4,70.6,269.0,25.95,402.6
results-1359,2026-05-23,confirmed cases,7,2026-05-30,frozen,181.0,140.0,105.6,181.4,70.6,269.0,25.95,402.6
results-v1.16.0,2026-05-23,confirmed cases,14,2026-06-06,frozen,414.0,470.5,413.65,550.4,340.6,642.2,227.85,944.25
results-v1.15.0,2026-05-23,confirmed cases,14,2026-06-06,frozen,414.0,462.0,390.3,538.35,328.8,652.4,236.7,955.45
results-1591,2026-05-23,confirmed cases,14,2026-06-06,frozen,414.0,462.0,390.3,538.35,328.8,652.4,236.7,955.45
results-1573,2026-05-23,confirmed cases,14,2026-06-06,frozen,414.0,420.5,324.3,565.05,243.6,815.6,120.85,1309.2
results-1527,2026-05-23,confirmed cases,14,2026-06-06,frozen,414.0,420.5,324.3,565.05,243.6,815.6,120.85,1309.2
results-1505,2026-05-23,confirmed cases,14,2026-06-06,frozen,414.0,420.5,324.3,565.05,243.6,815.6,120.85,1309.2
results-v1.13.2,2026-05-23,confirmed cases,14,2026-06-06,frozen,414.0,420.5,324.3,565.05,243.6,815.6,120.85,1309.2
results-1489,2026-05-23,confirmed cases,14,2026-06-06,frozen,414.0,420.5,324.3,565.05,243.6,815.6,120.85,1309.2
results-1479,2026-05-23,confirmed cases,14,2026-06-06,frozen,414.0,420.5,324.3,565.05,243.6,815.6,120.85,1309.2
results-1469,2026-05-23,confirmed cases,14,2026-06-06,frozen,414.0,420.5,324.3,565.05,243.6,815.6,120.85,1309.2
results-1462,2026-05-23,confirmed cases,14,2026-06-06,frozen,414.0,420.5,324.3,565.05,243.6,815.6,120.85,1309.2
results-v1.12.0,2026-05-23,confirmed cases,14,2026-06-06,frozen,414.0,403.0,311.3,584.35,236.6,778.2,96.9,1475.6
results-1446,2026-05-23,confirmed cases,14,2026-06-06,frozen,414.0,403.0,311.3,584.35,236.6,778.2,96.9,1475.6
results-1441,2026-05-23,confirmed cases,14,2026-06-06,frozen,414.0,403.0,311.3,584.35,236.6,778.2,96.9,1475.6
results-1394,2026-05-23,confirmed cases,14,2026-06-06,frozen,414.0,397.0,290.9,496.0,217.6,687.6,81.9,1224.15
results-1391,2026-05-23,confirmed cases,14,2026-06-06,frozen,414.0,397.0,290.9,496.0,217.6,687.6,81.9,1224.15
results-1359,2026-05-23,confirmed cases,14,2026-06-06,frozen,414.0,397.0,290.9,496.0,217.6,687.6,81.9,1224.15
results-v1.16.0,2026-05-23,confirmed cases,21,2026-06-13,frozen,681.0,984.0,841.15,1128.0,679.2,1390.0,471.35,2090.2
results-v1.15.0,2026-05-23,confirmed cases,21,2026-06-13,frozen,681.0,974.5,801.2,1152.75,645.0,1408.8,406.75,2505.5
results-1591,2026-05-23,confirmed cases,21,2026-06-13,frozen,681.0,974.5,801.2,1152.75,645.0,1408.8,406.75,2505.5
results-1573,2026-05-23,confirmed cases,21,2026-06-13,frozen,681.0,850.5,612.6,1010.8,381.0,1456.8,174.9,2702.2
results-1527,2026-05-23,confirmed cases,21,2026-06-13,frozen,681.0,850.5,612.6,1010.8,381.0,1456.8,174.9,2702.2
results-1505,2026-05-23,confirmed cases,21,2026-06-13,frozen,681.0,850.5,612.6,1010.8,381.0,1456.8,174.9,2702.2
results-v1.13.2,2026-05-23,confirmed cases,21,2026-06-13,frozen,681.0,850.5,612.6,1010.8,381.0,1456.8,174.9,2702.2
results-1489,2026-05-23,confirmed cases,21,2026-06-13,frozen,681.0,850.5,612.6,1010.8,381.0,1456.8,174.9,2702.2
results-1479,2026-05-23,confirmed cases,21,2026-06-13,frozen,681.0,850.5,612.6,1010.8,381.0,1456.8,174.9,2702.2
results-1469,2026-05-23,confirmed cases,21,2026-06-13,frozen,681.0,850.5,612.6,1010.8,381.0,1456.8,174.9,2702.2
results-1462,2026-05-23,confirmed cases,21,2026-06-13,frozen,681.0,850.5,612.6,1010.8,381.0,1456.8,174.9,2702.2
results-v1.12.0,2026-05-23,confirmed cases,21,2026-06-13,frozen,681.0,875.0,615.55,1075.6,457.8,1535.2,166.2,3056.35
results-1446,2026-05-23,confirmed cases,21,2026-06-13,frozen,681.0,875.0,615.55,1075.6,457.8,1535.2,166.2,3056.35
results-1441,2026-05-23,confirmed cases,21,2026-06-13,frozen,681.0,875.0,615.55,1075.6,457.8,1535.2,166.2,3056.35
results-1394,2026-05-23,confirmed cases,21,2026-06-13,frozen,681.0,803.0,550.6,1119.35,286.8,1622.2,143.75,3225.55
results-1391,2026-05-23,confirmed cases,21,2026-06-13,frozen,681.0,803.0,550.6,1119.35,286.8,1622.2,143.75,3225.55
results-1359,2026-05-23,confirmed cases,21,2026-06-13,frozen,681.0,803.0,550.6,1119.35,286.8,1622.2,143.75,3225.55
results-v1.16.0,2026-05-23,confirmed cases,28,2026-06-20,frozen,902.0,1813.5,1450.45,2242.5,1076.6,2844.0,725.9,5245.9
results-v1.15.0,2026-05-23,confirmed cases,28,2026-06-20,frozen,902.0,1723.0,1443.9,2157.0,1099.2,2801.6,669.85,5148.9
results-1591,2026-05-23,confirmed cases,28,2026-06-20,frozen,902.0,1723.0,1443.9,2157.0,1099.2,2801.6,669.85,5148.9
results-1573,2026-05-23,confirmed cases,28,2026-06-20,frozen,902.0,1488.5,1038.3,2068.15,636.2,3216.2,272.55,7637.2
results-1527,2026-05-23,confirmed cases,28,2026-06-20,frozen,902.0,1488.5,1038.3,2068.15,636.2,3216.2,272.55,7637.2
results-1505,2026-05-23,confirmed cases,28,2026-06-20,frozen,902.0,1488.5,1038.3,2068.15,636.2,3216.2,272.55,7637.2
results-v1.13.2,2026-05-23,confirmed cases,28,2026-06-20,frozen,902.0,1488.5,1038.3,2068.15,636.2,3216.2,272.55,7637.2
results-1489,2026-05-23,confirmed cases,28,2026-06-20,frozen,902.0,1488.5,1038.3,2068.15,636.2,3216.2,272.55,7637.2
results-1479,2026-05-23,confirmed cases,28,2026-06-20,frozen,902.0,1488.5,1038.3,2068.15,636.2,3216.2,272.55,7637.2
results-1469,2026-05-23,confirmed cases,28,2026-06-20,frozen,902.0,1488.5,1038.3,2068.15,636.2,3216.2,272.55,7637.2
results-1462,2026-05-23,confirmed cases,28,2026-06-20,frozen,902.0,1488.5,1038.3,2068.15,636.2,3216.2,272.55,7637.2
results-v1.12.0,2026-05-23,confirmed cases,28,2026-06-20,frozen,902.0,1463.0,1008.7,1942.1,734.0,2981.8,253.55,6927.3
results-1446,2026-05-23,confirmed cases,28,2026-06-20,frozen,902.0,1463.0,1008.7,1942.1,734.0,2981.8,253.55,6927.3
results-1441,2026-05-23,confirmed cases,28,2026-06-20,frozen,902.0,1463.0,1008.7,1942.1,734.0,2981.8,253.55,6927.3
results-1394,2026-05-23,confirmed cases,28,2026-06-20,frozen,902.0,1307.5,891.6,1971.6,557.6,3059.8,200.75,7326.85
results-1391,2026-05-23,confirmed cases,28,2026-06-20,frozen,902.0,1307.5,891.6,1971.6,557.6,3059.8,200.75,7326.85
results-1359,2026-05-23,confirmed cases,28,2026-06-20,frozen,902.0,1307.5,891.6,1971.6,557.6,3059.8,200.75,7326.85
results-v1.16.0,2026-05-27,confirmed cases,7,2026-06-03,baseline,256.0,61.0,48.65,75.0,38.0,84.2,14.85,102.0
results-v1.15.0,2026-05-27,confirmed cases,7,2026-06-03,baseline,256.0,62.5,52.0,71.0,39.0,80.2,16.9,101.15
results-1591,2026-05-27,confirmed cases,7,2026-06-03,baseline,256.0,60.0,50.0,73.0,38.8,84.0,18.0,103.2
results-1573,2026-05-27,confirmed cases,7,2026-06-03,baseline,256.0,56.0,48.0,67.35,37.0,79.0,21.0,103.05
results-1527,2026-05-27,confirmed cases,7,2026-06-03,baseline,256.0,60.0,45.65,69.0,35.0,83.0,17.95,102.0
results-1505,2026-05-27,confirmed cases,7,2026-06-03,baseline,256.0,61.5,52.0,72.35,41.6,87.4,20.95,107.0
results-v1.13.2,2026-05-27,confirmed cases,7,2026-06-03,baseline,256.0,62.5,52.3,72.35,40.0,85.0,16.95,102.1
results-1489,2026-05-27,confirmed cases,7,2026-06-03,baseline,256.0,62.5,50.0,75.35,36.0,85.0,16.0,112.05
results-1479,2026-05-27,confirmed cases,7,2026-06-03,baseline,256.0,58.0,47.0,71.0,33.0,87.0,14.95,104.05
results-1469,2026-05-27,confirmed cases,7,2026-06-03,baseline,256.0,65.0,56.65,73.35,46.0,83.0,22.9,104.05
results-1462,2026-05-27,confirmed cases,7,2026-06-03,baseline,256.0,59.5,51.0,70.35,35.0,82.0,16.0,100.0
results-v1.12.0,2026-05-27,confirmed cases,7,2026-06-03,baseline,256.0,63.5,49.65,76.35,37.0,87.2,20.0,103.1
results-1446,2026-05-27,confirmed cases,7,2026-06-03,baseline,256.0,56.0,47.65,67.0,34.0,78.0,22.8,98.05
results-1441,2026-05-27,confirmed cases,7,2026-06-03,baseline,256.0,58.0,49.65,67.35,40.0,76.2,14.95,102.05
results-1394,2026-05-27,confirmed cases,7,2026-06-03,baseline,256.0,61.5,52.0,70.35,37.0,87.0,23.95,106.0
results-1391,2026-05-27,confirmed cases,7,2026-06-03,baseline,256.0,62.0,52.0,75.0,38.8,86.4,18.85,103.05
results-1359,2026-05-27,confirmed cases,7,2026-06-03,baseline,256.0,59.0,51.65,70.0,38.0,82.0,15.95,106.05
results-v1.16.0,2026-05-27,confirmed cases,7,2026-06-03,frozen,256.0,76.0,63.65,92.7,44.0,115.2,23.0,171.2
results-v1.15.0,2026-05-27,confirmed cases,7,2026-06-03,frozen,256.0,74.5,57.65,93.35,40.8,117.0,24.95,168.1
results-1591,2026-05-27,confirmed cases,7,2026-06-03,frozen,256.0,74.5,57.65,93.35,40.8,117.0,24.95,168.1
results-1573,2026-05-27,confirmed cases,7,2026-06-03,frozen,256.0,61.0,41.95,79.35,26.0,122.0,6.95,254.2
results-1527,2026-05-27,confirmed cases,7,2026-06-03,frozen,256.0,61.0,41.95,79.35,26.0,122.0,6.95,254.2
results-1505,2026-05-27,confirmed cases,7,2026-06-03,frozen,256.0,61.0,41.95,79.35,26.0,122.0,6.95,254.2
results-v1.13.2,2026-05-27,confirmed cases,7,2026-06-03,frozen,256.0,61.0,41.95,79.35,26.0,122.0,6.95,254.2
results-1489,2026-05-27,confirmed cases,7,2026-06-03,frozen,256.0,61.0,41.95,79.35,26.0,122.0,6.95,254.2
results-1479,2026-05-27,confirmed cases,7,2026-06-03,frozen,256.0,61.0,41.95,79.35,26.0,122.0,6.95,254.2
results-1469,2026-05-27,confirmed cases,7,2026-06-03,frozen,256.0,61.0,41.95,79.35,26.0,122.0,6.95,254.2
results-1462,2026-05-27,confirmed cases,7,2026-06-03,frozen,256.0,61.0,41.95,79.35,26.0,122.0,6.95,254.2
results-v1.12.0,2026-05-27,confirmed cases,7,2026-06-03,frozen,256.0,66.0,40.65,92.35,23.8,126.0,6.0,232.0
results-1446,2026-05-27,confirmed cases,7,2026-06-03,frozen,256.0,66.0,40.65,92.35,23.8,126.0,6.0,232.0
results-1441,2026-05-27,confirmed cases,7,2026-06-03,frozen,256.0,66.0,40.65,92.35,23.8,126.0,6.0,232.0
results-1394,2026-05-27,confirmed cases,7,2026-06-03,frozen,256.0,65.0,44.65,87.0,28.0,133.4,9.95,256.15
results-1391,2026-05-27,confirmed cases,7,2026-06-03,frozen,256.0,65.0,44.65,87.0,28.0,133.4,9.95,256.15
results-1359,2026-05-27,confirmed cases,7,2026-06-03,frozen,256.0,65.0,44.65,87.0,28.0,133.4,9.95,256.15
results-v1.16.0,2026-05-27,confirmed cases,14,2026-06-10,frozen,551.0,170.5,135.25,200.7,105.0,266.2,73.95,388.75
results-v1.15.0,2026-05-27,confirmed cases,14,2026-06-10,frozen,551.0,155.5,130.65,182.35,101.0,235.8,64.95,394.55
results-1591,2026-05-27,confirmed cases,14,2026-06-10,frozen,551.0,155.5,130.65,182.35,101.0,235.8,64.95,394.55
results-1573,2026-05-27,confirmed cases,14,2026-06-10,frozen,551.0,152.5,90.0,207.35,50.4,332.6,14.0,551.45
results-1527,2026-05-27,confirmed cases,14,2026-06-10,frozen,551.0,152.5,90.0,207.35,50.4,332.6,14.0,551.45
results-1505,2026-05-27,confirmed cases,14,2026-06-10,frozen,551.0,152.5,90.0,207.35,50.4,332.6,14.0,551.45
results-v1.13.2,2026-05-27,confirmed cases,14,2026-06-10,frozen,551.0,152.5,90.0,207.35,50.4,332.6,14.0,551.45
results-1489,2026-05-27,confirmed cases,14,2026-06-10,frozen,551.0,152.5,90.0,207.35,50.4,332.6,14.0,551.45
results-1479,2026-05-27,confirmed cases,14,2026-06-10,frozen,551.0,152.5,90.0,207.35,50.4,332.6,14.0,551.45
results-1469,2026-05-27,confirmed cases,14,2026-06-10,frozen,551.0,152.5,90.0,207.35,50.4,332.6,14.0,551.45
results-1462,2026-05-27,confirmed cases,14,2026-06-10,frozen,551.0,152.5,90.0,207.35,50.4,332.6,14.0,551.45
results-v1.12.0,2026-05-27,confirmed cases,14,2026-06-10,frozen,551.0,133.5,89.65,173.05,50.8,283.0,15.9,570.05
results-1446,2026-05-27,confirmed cases,14,2026-06-10,frozen,551.0,133.5,89.65,173.05,50.8,283.0,15.9,570.05
results-1441,2026-05-27,confirmed cases,14,2026-06-10,frozen,551.0,133.5,89.65,173.05,50.8,283.0,15.9,570.05
results-1394,2026-05-27,confirmed cases,14,2026-06-10,frozen,551.0,137.5,92.65,190.35,52.0,304.0,17.95,509.3
results-1391,2026-05-27,confirmed cases,14,2026-06-10,frozen,551.0,137.5,92.65,190.35,52.0,304.0,17.95,509.3
results-1359,2026-05-27,confirmed cases,14,2026-06-10,frozen,551.0,137.5,92.65,190.35,52.0,304.0,17.95,509.3
results-v1.16.0,2026-05-27,confirmed cases,21,2026-06-17,frozen,771.0,291.5,232.95,363.35,187.8,489.4,109.0,721.7
results-v1.15.0,2026-05-27,confirmed cases,21,2026-06-17,frozen,771.0,258.5,202.25,321.4,149.0,431.4,90.65,730.05
results-1591,2026-05-27,confirmed cases,21,2026-06-17,frozen,771.0,258.5,202.25,321.4,149.0,431.4,90.65,730.05
results-1573,2026-05-27,confirmed cases,21,2026-06-17,frozen,771.0,192.5,124.0,298.0,72.0,429.2,17.75,1264.5
results-1527,2026-05-27,confirmed cases,21,2026-06-17,frozen,771.0,192.5,124.0,298.0,72.0,429.2,17.75,1264.5
