release,date,fit,median,lo30,hi30,lo60,hi60,lo90,hi90
results-1359,2026-07-23,cases,1.236966926788249,1.1767650319379368,1.3089731136876301,1.1127227913006865,1.4021273487937684,0.9753109610112256,1.6017191383176335
results-1359,2026-07-23,confirmed,1.308488148246258,1.2390497255498432,1.3885121665745312,1.1604169342170831,1.4937127866714819,1.0058266088953303,1.7289182242362982
results-1359,2026-07-23,confirmed_deaths,1.9527638133850156,1.776742001143292,2.1422197093773825,1.618722502528577,2.3690855167920697,1.3930170135153999,2.834668782469596
results-1359,2026-07-23,deaths,1.3637327579891614,1.2597682944678863,1.4894436975002376,1.1467571518774518,1.6501108135698912,0.9330016740787792,2.0487371701982773
results-1359,2026-07-23,exports,1.690302613188162,1.4412064894137615,2.018787254023234,1.2104072581250003,2.4973649946112317,0.8762852909886469,3.8301785483220163
results-1359,2026-07-23,joint,1.246455445900726,1.162083445332338,1.344822499639652,1.0773564235831175,1.4957873465695029,0.9154234741651402,1.857525831558826
results-1359,2026-07-23,treatment,1.4312664833435713,1.35371919352814,1.5252303604191746,1.273979564481475,1.653546713229798,1.1225946352099367,1.935912042413416
results-1391,2026-07-25,cases,1.2082451383689738,1.143244685205325,1.2774670714124592,1.0863378186584263,1.3767853021829568,0.9392735073547884,1.6054789076991738
results-1391,2026-07-25,confirmed,1.2969968154447846,1.2225513237047674,1.3734721867527855,1.1390313171476427,1.4933219948270924,0.9762464476367431,1.7323883532270448
results-1391,2026-07-25,confirmed_deaths,1.6346283029126254,1.507541436419567,1.8016715906913667,1.3618446613013002,2.0324206746170597,1.141998397289428,2.4980074063370505
results-1391,2026-07-25,deaths,1.331665686746437,1.2338128080863182,1.4629401992554683,1.1122356788126273,1.6286151261718158,0.8130905129880353,2.0828106819286134
results-1391,2026-07-25,exports,1.7296541882135577,1.451185465884512,1.998042062323635,1.2200294223187227,2.468136635739655,0.8500636811806539,3.8357439473704673
results-1391,2026-07-25,joint,1.1878039847753668,1.0980338738039057,1.2828315547514433,1.0178578039609854,1.4079089291413152,0.8377037171809668,1.7480290309454234
results-1391,2026-07-25,treatment,1.3952771185952406,1.3047337859322294,1.4998098291389188,1.2065665849116207,1.632736383082765,1.0344783716213752,1.9064594998051296
results-1394,2026-07-26,cases,1.2092675908963524,1.1474594961550055,1.268391980597077,1.083020174328568,1.3503321383778215,0.9464878337002106,1.5559075557678217
results-1394,2026-07-26,confirmed,1.2833009227650956,1.2080574691938153,1.3647279399981072,1.1384445765679994,1.4660945521184505,0.9769718460107564,1.7171443661361536
results-1394,2026-07-26,confirmed_deaths,1.6213208357245286,1.479936216982456,1.7711252173573526,1.3198914807959017,1.9751192668247488,1.0291352236701514,2.4037370284211796
results-1394,2026-07-26,deaths,1.3309764258210413,1.2326860736510872,1.4619220044293486,1.1117331068474836,1.6277032376084262,0.8122570383337817,2.0814517871550264
results-1394,2026-07-26,exports,1.7287199992553393,1.4503569014272615,1.9970736458347589,1.2185806643882267,2.4677116402583494,0.8493072333686406,3.834251997019469
results-1394,2026-07-26,joint,1.1618170844546492,1.091081405164863,1.2465363158303129,1.0118364063590306,1.3658618051038198,0.8456410827922021,1.6370227955626153
results-1394,2026-07-26,treatment,1.3441091086789823,1.266842582265934,1.4266024494425682,1.1838105396302259,1.542256204358848,0.9838319452274409,1.779150545354775
results-1441,2026-07-27,cases,1.1995763863851765,1.1441128407255305,1.2758034981786175,1.0736335897672815,1.3738301009962126,0.9359086342798847,1.5552912041827969
results-1441,2026-07-27,confirmed,1.2978364314022532,1.2333574718152123,1.3717447558777989,1.1639355763135906,1.476603669319073,1.0203596413781206,1.6729504706616902
results-1441,2026-07-27,confirmed_deaths,1.6382903308206314,1.4949332354510656,1.7828217535029602,1.347486216427682,2.0229489454674447,1.1286041042897461,2.8593996225904688
results-1441,2026-07-27,deaths,1.3604390996143219,1.2496475108692155,1.4917736098742655,1.1471267852498757,1.6550403912489746,0.9559536215421205,1.984209731275555
results-1441,2026-07-27,exports,1.675611945470672,1.4327953957618662,2.0170354406965845,1.1799380253165432,2.463062896778674,0.7882012084713913,3.6750608385883528
results-1441,2026-07-27,joint,1.1575589965747124,1.085920209200121,1.2561161069349867,0.9996315611068117,1.3902923249661074,0.8308678040427445,1.754397731900562
results-1441,2026-07-27,treatment,1.3328534476774596,1.2611577825698528,1.4199285816262783,1.16847314348205,1.5236018600696164,0.9949790784275127,1.7287289195738933
results-1446,2026-07-31,cases,1.1981873835426362,1.1422184656468395,1.2622773482867387,1.087962786907015,1.3423701800943906,0.9499859041450791,1.539112649396556
results-1446,2026-07-31,confirmed,1.2986158422172704,1.2266444866709538,1.3815412379978642,1.1464014324746348,1.4929711332355196,0.9920651871712961,1.9339251189423439
results-1446,2026-07-31,confirmed_deaths,1.5018077652730706,1.3648144567949703,1.6538904962247378,1.2290083472953754,1.828836017698729,0.9919315034307421,2.271853365390843
results-1446,2026-07-31,deaths,1.3579017531702862,1.2459473251536635,1.4888409156210476,1.1451601389674635,1.6515739194165806,0.9533452447535823,1.980673110088297
results-1446,2026-07-31,exports,1.6887992946502925,1.4277526855756992,2.0029781480004556,1.1813219793501084,2.4642550191523216,0.8071915521633188,3.63415151566865
results-1446,2026-07-31,joint,1.128988404499271,1.055062140129119,1.2165593205206533,0.9678153495920336,1.3160746876053906,0.8112222655688706,1.585072650347817
results-1446,2026-07-31,treatment,1.2584710816212668,1.1754566147929364,1.337656776074815,1.0820710850324136,1.435544202976464,0.8850566862740562,1.6630482776593376
results-v1.12.0,2026-08-01,cases,1.1563468580265681,1.0981494160524612,1.212887736693556,1.0347286318369293,1.3030875560611799,0.8953016557793442,1.486123184482302
