release,date,median,lo30,hi30,lo60,hi60,lo90,hi90
results-1359,2026-07-23,1.856,1.723,2.062,1.598,2.33,1.357,2.85
results-1391,2026-07-25,1.988,1.787,2.219,1.565,2.626,1.33,3.587
results-1394,2026-07-26,1.972,1.717,2.177,1.543,2.386,1.355,2.821
results-1441,2026-07-27,1.984,1.76,2.2,1.625,2.305,1.398,2.791
results-1446,2026-07-31,1.829,1.681,2.039,1.561,2.279,1.418,2.918
results-v1.12.0,2026-08-01,2.064,1.849,2.303,1.675,2.556,1.438,3.301
results-1462,2026-08-02,1.923,1.771,2.166,1.599,2.398,1.391,2.927
results-1469,2026-08-03,1.895,1.67,2.105,1.504,2.368,1.302,3.142
results-1479,2026-08-04,1.88,1.8,2.038,1.595,2.392,1.44,2.945
results-1489,2026-08-07,1.91,1.803,2.05,1.573,2.362,1.419,2.984
results-v1.13.2,2026-08-11,2.007,1.839,2.162,1.557,2.475,1.368,3.209
results-1505,2026-08-15,1.953,1.777,2.15,1.513,2.506,1.412,3.088
results-1527,2026-08-17,1.886,1.761,2.12,1.624,2.642,1.376,3.075
results-1573,2026-08-22,2.105,1.864,2.313,1.693,2.569,1.401,3.019
results-1591,2026-08-24,1.853,1.653,2.023,1.542,2.248,1.374,3.09
results-v1.15.0,2026-08-25,1.847,1.728,2.135,1.592,2.46,1.367,2.862
results-v1.16.0,2026-08-30,2.034,1.841,2.211,1.64,2.474,1.4,3.325
