release,date,fit,median,lo30,hi30,lo60,hi60,lo90,hi90
results-1441,2026-07-27,cases,2.1095813416675404,1.8994822730592285,2.3523255088098756,1.7316167302685568,2.6921099589740223,1.4888649935066642,3.393450065789877
results-1441,2026-07-27,confirmed,2.0361372787802434,1.885003254010001,2.2590692009491082,1.728066794390339,2.53657884383371,1.4904861758113574,3.239311260220162
results-1441,2026-07-27,confirmed_deaths,2.2008694921768743,2.0006924125331276,2.444039717182707,1.807822754079029,2.8138249938044764,1.5193386389317245,3.592468628359897
results-1441,2026-07-27,deaths,2.119824255708473,1.9239849804848674,2.3649627973559695,1.7499274760147348,2.6879144886887603,1.4614115572279145,3.409270899744595
results-1441,2026-07-27,exports,2.1096124634015685,1.9086451121581636,2.3523785306047422,1.7016972534432397,2.7217442473184574,1.4748582307223694,3.5765914904950624
results-1441,2026-07-27,joint,1.9607498674172095,1.7656784148150457,2.1642353520552926,1.5946243489260818,2.463543064974813,1.3757424791866015,3.165402624239571
results-1441,2026-07-27,treatment,1.9992063142149883,1.8471377851704922,2.1644057576031748,1.6839205267236252,2.4299663937995617,1.4508970541306154,3.0349020384363685
results-1446,2026-07-31,cases,2.132730072633491,1.9385951059514004,2.338834748225128,1.76392976186434,2.6481335071606877,1.4998732121932463,3.3547604112377623
results-1446,2026-07-31,confirmed,2.0989349512991855,1.9306615927619348,2.3330100875066417,1.7472548137110744,2.6390371673381967,1.4987012346257105,3.1923756514117367
results-1446,2026-07-31,confirmed_deaths,2.1967051736240224,1.9802013717505982,2.453066299542258,1.7733438057379167,2.7920094244194105,1.5319138381950435,3.5605387810667657
results-1446,2026-07-31,deaths,2.119824255708473,1.9239849804848674,2.3649627973559695,1.7499274760147348,2.6879144886887603,1.4614115572279145,3.409270899744595
results-1446,2026-07-31,exports,2.168344272992072,1.9467941887522509,2.4241233939224034,1.7453416897657525,2.746956449933343,1.476341398513022,3.592269158520827
results-1446,2026-07-31,joint,1.9024950919677088,1.7338477906011005,2.0922066510178396,1.5689232200411773,2.3664847852406603,1.365072803603258,2.9188068370945652
results-1446,2026-07-31,treatment,2.009685091553899,1.8470977442818632,2.199743684976832,1.675674867556276,2.4505337291990807,1.4312251273797774,3.0931448440873948
results-v1.12.0,2026-08-01,cases,2.0582463584726995,1.878864004216159,2.2945198225548347,1.6990632258989051,2.637823154339465,1.4680186713784094,3.3773833859975197
results-v1.12.0,2026-08-01,confirmed,2.061007858942504,1.8818242204689035,2.2687183416221055,1.71500373496849,2.5738179550374523,1.5022501610304442,3.3198106949130572
results-v1.12.0,2026-08-01,confirmed_deaths,2.1654939627747796,1.9508898960392191,2.4546627455439833,1.7549453792568948,2.7808708852945783,1.4865862966669208,3.6905388125222838
results-v1.12.0,2026-08-01,deaths,2.15263055652228,1.967368994436287,2.3382266604231563,1.799887850343377,2.6465889220648218,1.497827128970773,3.3750828866908487
results-v1.12.0,2026-08-01,exports,2.2056369677693772,1.9762768525325347,2.4216872724711154,1.7622631970303364,2.7688862382146384,1.476339728563013,3.6263860556609586
results-v1.12.0,2026-08-01,joint,1.9575331638116191,1.7558128453738298,2.157653678485631,1.5978872897802754,2.4127327577757964,1.3648902638172975,3.102674353042614
results-v1.12.0,2026-08-01,treatment,1.9551543382753704,1.8037556883543044,2.1881498806278867,1.6677522010231414,2.4850853136202367,1.4209903149148209,3.0137688796680138
results-1462,2026-08-02,cases,2.0786451429105646,1.8806547557395559,2.34899371271787,1.6752453564875553,2.730443725488297,1.4545674163030669,3.4673347437583426
results-1462,2026-08-02,confirmed,2.072040829336674,1.873478784204042,2.2637594573736486,1.683357264295141,2.5726083972295846,1.4448931200012147,3.324015782992133
results-1462,2026-08-02,confirmed_deaths,2.119802727870784,1.8976101618903884,2.3846545222922217,1.715295870221062,2.745566015867861,1.4565835263218312,3.593148216488071
results-1462,2026-08-02,deaths,2.0929029643331205,1.9146545044244765,2.3333337663131313,1.7319104932639546,2.614131175665337,1.4904809379769908,3.413801458495115
results-1462,2026-08-02,exports,2.1065109480958064,1.9129292125091428,2.3836525493116874,1.7076846135379666,2.7740924674922693,1.4165163681720443,3.5973334508526444
results-1462,2026-08-02,joint,1.8556294538860219,1.692276489957813,2.0864102452267974,1.5720187648218482,2.360637876145426,1.36423766767453,3.038452060867646
results-1462,2026-08-02,onsets,1.8471505358396119,1.6852916356383594,2.0360820861908593,1.5320401924233973,2.3283969440736265,1.349492362884794,3.105393460896966
results-1462,2026-08-02,treatment,1.876828102243302,1.7185039800829929,2.060396194489517,1.5685813169200034,2.317658311326211,1.326499000298731,2.9220034145994265
results-1469,2026-08-03,cases,2.052777694693681,1.8616982166590543,2.3127807214241396,1.6552077290977265,2.6415996429298394,1.4141038325334256,3.3721575626651115
results-1469,2026-08-03,confirmed,2.002566444061693,1.8326991631815215,2.1852807605182374,1.6440897231962577,2.475689846004093,1.4183621278773635,3.1173337133190855
results-1469,2026-08-03,confirmed_deaths,2.163604045147542,1.9547443626916499,2.423305162459024,1.7328924420882412,2.762375885243499,1.4742807566465101,3.609272271735196
