release,made_date,stream,horizon,target_date,fit,crps,log_crps,dispersion,overprediction,underprediction,coverage_50,coverage_90,bias,n_samples,log_rel_to_baseline
results-1359,2026-05-20,confirmed cases,7,2026-05-27,frozen,66.420525,0.5851833675419784,30.300524999999993,36.120000000000005,0.0,false,true,0.775,200,
results-1359,2026-05-20,confirmed cases,14,2026-06-03,frozen,104.05655000000002,0.24076508942761954,88.60655,15.449999999999998,0.0,true,true,0.31999999999999995,200,
results-1359,2026-05-20,confirmed cases,21,2026-06-10,frozen,249.63565000000006,0.2677518363331529,212.35565000000003,37.28,0.0,true,true,0.355,200,
results-1359,2026-05-20,confirmed cases,28,2026-06-17,frozen,638.9123999999999,0.4132779529266033,492.54239999999965,146.37,0.0,true,true,0.43000000000000005,200,
results-1359,2026-05-20,confirmed deaths,7,2026-05-27,frozen,3.309825,0.2353038619381982,3.309825000000002,0.0,0.0,true,true,0.0,200,
results-1359,2026-05-20,confirmed deaths,14,2026-06-03,frozen,15.647849999999998,0.40503244879164546,8.997850000000003,0.0,6.650000000000002,true,true,-0.4650000000000001,200,
results-1359,2026-05-20,confirmed deaths,21,2026-06-10,frozen,37.756,0.4398035577107219,22.896000000000008,0.0,14.86,true,true,-0.44500000000000006,200,
results-1359,2026-05-20,confirmed deaths,28,2026-06-17,frozen,75.01317500000002,0.4837787034096417,44.01317500000001,0.0,30.99999999999999,true,true,-0.43999999999999995,200,
results-1359,2026-05-23,confirmed cases,7,2026-05-30,baseline,82.333025,0.6055149895860692,2.343025,0.0,79.99000000000002,false,false,-1.0,200,1.0
results-1359,2026-05-23,confirmed cases,7,2026-05-30,frozen,32.59595,0.2176322845465789,26.42595,0.0,6.169999999999999,true,true,-0.30000000000000004,200,0.3594
results-1359,2026-05-23,confirmed cases,14,2026-06-06,frozen,68.04549999999998,0.1660796069728535,67.5355,0.0,0.51,true,true,-0.06000000000000005,200,
results-1359,2026-05-23,confirmed cases,21,2026-06-13,frozen,205.496625,0.24224669814704025,195.16662499999998,10.33,0.0,true,true,0.15000000000000002,200,
results-1359,2026-05-23,confirmed cases,28,2026-06-20,frozen,421.77200000000016,0.28652365905141464,375.4620000000001,46.31,0.0,true,true,0.29000000000000004,200,
results-1359,2026-05-23,confirmed deaths,7,2026-05-30,baseline,24.557675,1.4001248103300414,0.5976750000000002,0.0,23.96000000000004,false,false,-1.0,200,1.0
results-1359,2026-05-23,confirmed deaths,7,2026-05-30,frozen,11.12,0.5401533692014917,3.2500000000000013,0.0,7.870000000000002,false,true,-0.675,200,0.3858
results-1359,2026-05-23,confirmed deaths,14,2026-06-06,frozen,26.388325000000002,0.4997632534012132,9.558325,0.0,16.83,false,true,-0.5800000000000001,200,
results-1359,2026-05-23,confirmed deaths,21,2026-06-13,frozen,57.495374999999996,0.5507380035276401,21.37537500000001,0.0,36.12,false,true,-0.6399999999999999,200,
results-1359,2026-05-23,confirmed deaths,28,2026-06-20,frozen,78.64724999999999,0.4600574216262331,43.00725,0.0,35.63999999999999,true,true,-0.47,200,
results-1359,2026-05-27,confirmed cases,7,2026-06-03,baseline,180.9326,1.2663690225089055,5.922600000000002,0.0,175.00999999999996,false,false,-1.0,200,1.0
results-1359,2026-05-27,confirmed cases,7,2026-06-03,frozen,134.59655,0.9371881885354486,14.74655,0.0,119.85000000000001,false,true,-0.895,200,0.7401
results-1359,2026-05-27,confirmed cases,14,2026-06-10,frozen,288.993975,0.9469458600549598,34.453975,0.0,254.54000000000008,false,false,-0.9299999999999999,200,
results-1359,2026-05-27,confirmed cases,21,2026-06-17,frozen,317.659125,0.6955011823980946,62.21912500000001,0.0,255.44000000000003,false,true,-0.78,200,
results-1359,2026-05-27,confirmed cases,28,2026-06-24,frozen,358.38687500000003,0.6167120292215681,120.906875,0.0,237.48000000000002,false,true,-0.6100000000000001,200,
results-1359,2026-05-27,confirmed deaths,7,2026-06-03,baseline,32.110275,1.1806132513224754,1.510275,0.0,30.600000000000005,false,false,-1.0,200,1.0
results-1359,2026-05-27,confirmed deaths,7,2026-06-03,frozen,33.327075,1.5363995574496223,1.8970749999999998,0.0,31.430000000000003,false,false,-0.97,200,1.3014
results-1359,2026-05-27,confirmed deaths,14,2026-06-10,frozen,89.151825,1.7823431062283186,3.491825,0.0,85.65999999999995,false,false,-0.9550000000000001,200,
results-1359,2026-05-27,confirmed deaths,21,2026-06-17,frozen,159.01047499999999,1.727379168940144,7.130475000000002,0.0,151.88,false,false,-0.97,200,
results-1359,2026-05-27,confirmed deaths,28,2026-06-24,frozen,199.939225,1.6516197740369865,11.329225000000001,0.0,188.61000000000007,false,false,-0.8999999999999999,200,
results-1359,2026-06-08,confirmed cases,7,2026-06-15,baseline,16.162950000000002,0.06471011933564297,14.782950000000001,1.38,0.0,true,true,0.16000000000000003,200,1.0
results-1359,2026-06-08,confirmed cases,7,2026-06-15,frozen,77.954575,0.24349911010893383,58.48457500000002,19.470000000000002,0.0,true,true,0.35,200,3.7629
results-1359,2026-06-08,confirmed cases,14,2026-06-22,baseline,32.296724999999995,0.06599550617150576,32.156725,0.14,0.0,true,true,0.040000000000000036,200,1.0
results-1359,2026-06-08,confirmed cases,14,2026-06-22,frozen,260.44697500000007,0.3292448583776064,185.03697500000007,75.41000000000001,0.0,true,true,0.45999999999999996,200,4.9889
results-1359,2026-06-08,confirmed cases,21,2026-06-29,baseline,121.473125,0.19444715831840445,33.803124999999994,0.0,87.67,false,true,-0.8200000000000001,200,1.0
results-1359,2026-06-08,confirmed cases,21,2026-06-29,frozen,704.9190999999998,0.5437937338849588,322.49909999999994,382.42000000000013,0.0,false,true,0.74,200,2.7966
results-1359,2026-06-08,confirmed cases,28,2026-07-06,frozen,1466.5782,0.623321190588522,814.0781999999999,652.5,0.0,false,true,0.73,200,
results-1359,2026-06-08,confirmed deaths,7,2026-06-15,baseline,16.8328,0.27230333838830934,6.022800000000002,0.0,10.81,false,true,-0.73,200,1.0
results-1359,2026-06-08,confirmed deaths,7,2026-06-15,frozen,16.173924999999997,0.2369820672580224,13.053925000000001,0.0,3.12,true,true,-0.29000000000000004,200,0.8703
results-1359,2026-06-08,confirmed deaths,14,2026-06-22,baseline,42.385475,0.3304457506913794,9.255474999999999,0.0,33.13,false,false,-0.9099999999999999,200,1.0
results-1359,2026-06-08,confirmed deaths,14,2026-06-22,frozen,34.466274999999996,0.20774693983726877,34.416275000000006,0.0,0.05,true,true,-0.030000000000000027,200,0.6287
results-1359,2026-06-08,confirmed deaths,21,2026-06-29,baseline,155.22932500000002,0.832117438101767,10.569325,0.0,144.66000000000005,false,false,-1.0,200,1.0
results-1359,2026-06-08,confirmed deaths,21,2026-06-29,frozen,87.95162499999998,0.2454199516320812,87.58162499999997,0.37,0.0,true,true,0.020000000000000018,200,0.2949
results-1359,2026-06-08,confirmed deaths,28,2026-07-06,frozen,179.25442499999986,0.23064950015505992,168.61442500000018,10.64,0.0,true,true,0.27,200,
results-1359,2026-06-08,isolation beds,7,2026-06-15,baseline,59.6067,0.18224058306419222,14.586700000000002,0.0,45.02000000000002,false,true,-0.8700000000000001,200,1.0
results-1359,2026-06-08,isolation beds,7,2026-06-15,frozen,30.992024999999998,0.07934062385377022,29.902025000000005,1.09,0.0,true,true,0.10999999999999999,200,0.4354
results-1359,2026-06-08,isolation beds,14,2026-06-22,baseline,55.25777500000001,0.1682394010553876,19.797775000000005,0.0,35.46000000000001,false,true,-0.675,200,1.0
results-1359,2026-06-08,isolation beds,14,2026-06-22,frozen,47.12294999999999,0.10829714004886357,42.07295000000002,5.050000000000001,0.0,true,true,0.21499999999999997,200,0.6437
results-1359,2026-06-08,isolation beds,21,2026-06-29,baseline,253.56730000000002,0.5634169072905034,23.077300000000008,0.0,230.49000000000004,false,false,-1.0,200,1.0
results-1359,2026-06-08,isolation beds,21,2026-06-29,frozen,95.618975,0.19107559235774546,46.378975000000004,0.0,49.23999999999999,false,true,-0.55,200,0.3391
results-1359,2026-06-08,isolation beds,28,2026-07-06,baseline,317.8733,0.6600590559244044,24.843300000000013,0.0,293.03,false,false,-1.0,200,1.0
results-1359,2026-06-08,isolation beds,28,2026-07-06,frozen,136.76027499999998,0.2538296428076506,47.830275,0.0,88.92999999999999,false,true,-0.6599999999999999,200,0.3846
results-1359,2026-06-08,recovered,7,2026-06-15,frozen,23.278149999999997,0.4745136738080383,16.318150000000003,6.96,0.0,true,true,0.43000000000000005,200,
results-1359,2026-06-08,recovered,14,2026-06-22,frozen,65.2654,0.4074138420105943,55.03540000000003,10.229999999999999,0.0,true,true,0.32499999999999996,200,
results-1359,2026-06-08,recovered,21,2026-06-29,frozen,122.99897499999997,0.4585252887610105,91.61897499999999,31.38,0.0,true,true,0.42000000000000004,200,
results-1359,2026-06-08,recovered,28,2026-07-06,frozen,267.0248999999999,0.49496950825180297,202.87490000000003,64.15,0.0,true,true,0.45999999999999996,200,
