tag,date,model,median,lo30,hi30,lo60,hi60,lo90,hi90
results-v1.1.0,2026-05-18,integral,925,765,1095,628,1378,438,2234
results-v1.0.0,2026-05-18,integral,972,813,1170,668,1510,478,2437
results-v1.2.0,2026-05-23,integral,1391,1201,1719,998,2193,704,3421
results-v1.3.0,2026-06-07,integral,4509,4250,5176,3845,5931,3213,7665
results-v1.4.0,2026-06-07,renewal,4161,3498,5018,2958,6822,2345,12421
results-v1.5.0,2026-06-10,renewal,4490,3944,5432,3388,6559,2749,9940
results-v1.6.0,2026-06-21,renewal,2250,2104,2623,1896,3024,1632,3838
