release,date,fit,median,lo30,hi30,lo60,hi60,lo90,hi90
results-1359,2026-07-23,cases,23502.8069341832,21455.43844290178,26561.696397058215,19582.710823088753,32551.49352447738,17723.9400076702,49818.42377450639
results-1359,2026-07-23,confirmed,36731.91778109906,32081.150532334635,43044.21121056619,28279.95805558012,54636.65276810894,22975.811116359942,86871.26631718758
results-1359,2026-07-23,confirmed_deaths,39178.341853443315,32988.494800906665,48364.61130541995,26148.828143503,64525.238434584404,17957.374025692425,99757.04346369396
results-1359,2026-07-23,deaths,24409.204969028797,20805.055558193926,28716.778302949315,17730.884731216487,34874.51299111752,13668.206248288177,49946.65257630708
results-1359,2026-07-23,exports,26501.19919485849,14584.741401852127,49874.491434845586,7914.40969441314,112295.8401585686,2947.29782548315,716536.5603540891
results-1359,2026-07-23,joint,6808.968553753947,6309.892515823289,7357.2795887034135,5861.430756471544,8335.565252218787,5282.8714698554595,10459.449005577992
results-1359,2026-07-23,treatment,8490.992376232974,7672.993279159242,9601.883085388294,6955.809671863775,11436.343228503765,6027.90831556042,19188.459693887326
results-1391,2026-07-25,cases,24639.081389155024,22201.71019848671,28688.499210238755,20135.097475913284,35516.914234045704,18096.301159378305,58545.106052028976
results-1391,2026-07-25,confirmed,37405.04015761396,32535.725199532848,42812.06845580363,28526.274638787603,54098.9007665625,23632.724630426794,84304.77942472199
results-1391,2026-07-25,confirmed_deaths,33809.218138297336,27550.90823672097,40833.841730503525,22180.209059956036,50361.780501500085,15304.503171511444,78613.93494987377
results-1391,2026-07-25,deaths,26060.779648241456,22681.696518472007,30135.823133250757,19040.750603552115,38524.81397311901,15118.502793846452,54344.8253245179
results-1391,2026-07-25,exports,30117.342677216744,15836.044835416236,55856.86575051761,8431.211653760232,124747.440742548,2758.919624848788,679993.1000460943
results-1391,2026-07-25,joint,6578.557396256194,6076.862420122814,7252.620073325724,5600.011787314111,8056.902614572473,4940.587708421805,9939.729607725025
results-1391,2026-07-25,treatment,9127.004251925697,8205.066151775862,10358.666335556396,7280.341110285146,12557.289695552041,6189.627383353363,19279.99012463026
results-1394,2026-07-26,cases,24670.791112351864,22549.344171540426,27402.801418064242,20694.759209422977,33764.07697628267,18850.910123648126,56725.96903362672
results-1394,2026-07-26,confirmed,39362.88120052812,33902.965200735875,45945.70138650779,29884.264407303916,56675.743518708856,24499.35689856474,86390.03622015142
results-1394,2026-07-26,confirmed_deaths,34214.82312521706,28324.75822723052,42276.877181049866,22163.61707034841,56115.759271093964,15206.835987392102,85611.37383574017
results-1394,2026-07-26,deaths,26801.270812828945,23312.710896627133,31046.83354917913,19567.79547949412,39770.97063219642,15520.529237345305,56725.379425641775
results-1394,2026-07-26,exports,31278.386060622477,16360.336358216402,58732.80327348881,8669.010364678077,132002.85690886498,2762.780654321299,731557.4715331115
results-1394,2026-07-26,joint,6677.048298044706,6257.082031216999,7324.390878821387,5796.789515557411,8113.619152700947,5064.25333753443,10218.109119491453
results-1394,2026-07-26,treatment,8886.852393626355,8017.560540957672,10068.392849087171,7301.442999354845,12247.350818373254,6185.367461110771,20271.62583583576
results-1441,2026-07-27,cases,25650.22672462364,22938.44662382584,29313.019686483836,21230.23551230019,36551.274208860945,19071.049984499514,62086.94183082023
results-1441,2026-07-27,confirmed,40374.589151914144,34997.908958067,47528.779842041185,29828.23460563798,58886.29243631515,24968.390924765597,98509.33874930257
results-1441,2026-07-27,confirmed_deaths,39476.0102659477,31279.241118199494,47944.80175334475,24222.56745070612,63165.97687366049,16188.735032988754,100673.91425395224
results-1441,2026-07-27,deaths,27669.346500693387,23471.65338443174,32790.293977823676,19478.452317745847,39561.37931613084,14994.333798655607,58891.88540252329
results-1441,2026-07-27,exports,28425.807973807012,16903.879407310764,55124.18345603111,9024.58454680345,115095.54113889005,3085.301297616307,526863.7282521942
results-1441,2026-07-27,joint,6803.541528113814,6315.773833727038,7489.603584005052,5823.044496281182,8286.464561719193,5173.178393961083,10117.471149910121
results-1441,2026-07-27,treatment,9552.311404047501,8487.163622119308,10887.52388936638,7551.248773311726,13673.382387905973,6431.843286058917,25241.49631092767
results-1446,2026-07-31,cases,27906.278792765726,25090.829318190335,32092.884118770213,23153.349359190306,38997.9298879102,20813.63554204199,66757.14894005682
results-1446,2026-07-31,confirmed,46122.73248274041,38818.12452133436,56112.28670573296,33751.10983155462,75243.01563691272,27321.176464765245,130605.42345829844
results-1446,2026-07-31,confirmed_deaths,41325.07374659213,33443.965581793585,50407.00661431351,26949.1307914313,63458.4055925838,19124.571876319074,105301.091619215
results-1446,2026-07-31,deaths,30844.100295471122,26052.915462755795,36757.99731630755,21379.6845391577,44662.37223991072,16311.38972381625,67042.93720094676
results-1446,2026-07-31,exports,32848.18177761738,16751.885468251763,62495.66919575343,8355.537583959573,146353.18232851307,3185.7325837780563,795099.6183591577
results-1446,2026-07-31,joint,7342.957250177837,6693.077812704823,8040.829102804933,6192.460229651035,9092.33830011047,5539.938875323426,10846.246534825523
results-1446,2026-07-31,treatment,9972.312291967657,9003.304923207752,11277.765332125586,7958.163107991572,13917.911822585016,6900.356758207673,24052.409578582185
results-v1.12.0,2026-08-01,cases,27789.026879465295,25237.14576072803,32285.972485143153,22871.075849989156,41151.993913054204,20511.177224432984,70517.76156597203
results-v1.12.0,2026-08-01,confirmed,46237.448386922435,40769.79726481809,52674.6489823675,34847.678719997806,66423.54207114612,28278.9043657937,101928.19167021844
results-v1.12.0,2026-08-01,confirmed_deaths,39056.42607928811,33235.11396950258,46634.02727480412,27192.56890569849,58745.3206086101,19018.002579207987,91947.12193902521
results-v1.12.0,2026-08-01,deaths,31649.673784981544,26597.34804215918,36562.96949355948,22391.76842595613,44755.960157472495,16944.215175381374,65292.607432413206
