sitrep,report_date,province,patients_isolated,patients_isolated_normed,beds,occupancy_rate_pct,admissions_24h,discharges_24h,recovered_24h,deaths_incare_24h,source_section,quote
025,2026-06-08,Ituri,266,,,,27,47,,13,Tableau 5,Patients au lit (J-1) 286; Total admissions 27; Decedes(Suspects/Conf) 13; Non-cas/Gueris 21; Evades 12; Transferes a l HGR 1; Total sorties 47; Patients en isolement (Fin J) 266; dont confirmes 106; dont suspects 160
025,2026-06-08,Nord-Kivu,24,,,,7,0,0,0,Tableau 5,Patients au lit (J-1) 17; Total admissions 7; Sorties all 0; Patients en isolement (Fin J) 24; dont confirmes 6; dont suspects 18
025,2026-06-08,Sud-Kivu,7,,,,0,0,0,0,Tableau 5,Patients au lit (J-1) 7; Total admissions 0; Sorties all 0; Patients en isolement (Fin J) 7; dont confirmes 1; dont suspects 6
026,2026-06-09,Ituri,237,,315,75.2,31,39,,7,Tableau 5 + Taux d occupation global,"Patients au lit (J-1) 245; Total admissions 31; Decedes(Suspects/Conf) 7; Non-cas/Gueris 22; Evades 9; Transferes a l HGR 1; Total sorties 39; Patients en isolement (Fin J) 237; dont confirmes 111; dont suspects 126. Taux d occupation global 75,2% (237/315) Ituri"
026,2026-06-09,Nord-Kivu,17,,71,23.9,0,0,0,0,Tableau 5 + Taux d occupation global,"Patients au lit (J-1) 17; Total admissions 0; Sorties all 0; Patients en isolement (Fin J) 17; dont confirmes 5; dont suspects 12. Taux d occupation global 23,9% (17/71) Nord-Kivu"
026,2026-06-09,Sud-Kivu,6,,14,42.8,0,0,0,0,Tableau 5 + Taux d occupation global,"Patients au lit (J-1) 6; Total admissions 0; Sorties all 0; Patients en isolement (Fin J) 6; dont confirmes 1; dont suspects 5. Taux d occupation global 42,8% (6/14) Sud-Kivu"
027,2026-06-10,Ituri,239,,307,77.9,26,26,,10,Tableau 5 + Taux d occupation global,"Patients au lit (J-1) 239; Total admissions 26; Decedes(Suspects/Conf) 10; Non-cas/Gueris 13; Evades 3; Transferes 0; Total sorties 26; Patients en isolement (Fin J) 239; dont confirmes 126; dont suspects 113. Taux d occupation global 77,9% (239/307) Ituri"
027,2026-06-10,Nord-Kivu,17,,71,23.9,0,0,0,0,Tableau 5 + Taux d occupation global,"Patients au lit (J-1) 17; Total admissions 0; Sorties all 0; Patients en isolement (Fin J) 17; dont confirmes 5; dont suspects 12. Taux d occupation global 23,9% (17/71) Nord-Kivu"
027,2026-06-10,Sud-Kivu,6,,32,18.8,0,0,0,0,Tableau 5 + Taux d occupation global,"Patients au lit (J-1) 6; Total admissions 0; Sorties all 0; Patients en isolement (Fin J) 6; dont confirmes 1; dont suspects 5. Taux d occupation global 18,8% (6/32) Sud-Kivu - bed count rose from 14 to 32 vs SitRep 026"
028,2026-06-11,Ituri,272,,349,77.9,47,22,7,7,Tableau 5 + Taux d occupation global,"Patients au lit (J-1) 247; Total admissions 47; Decedes7 Non-cas/Gueris7 Evades4 Transferes4 Total sorties22; Patients en isolement (Fin J) 272; dont confirmes 131; dont suspects 141. Taux d occupation global 77,9% (272/349)"
028,2026-06-11,Nord-Kivu,31,,71,43.7,18,0,0,0,Tableau 5 + Taux d occupation global,"Patients au lit (J-1) 13; Total admissions 18; Sorties all 0; Patients en isolement (Fin J) 31; dont confirmes 6; dont suspects 25. Taux d occupation global 43,7% (31/71)"
028,2026-06-11,Sud-Kivu,12,,32,37.5,10,5,5,0,Tableau 5 + Taux d occupation global,"Patients au lit (J-1) 7; Total admissions 10; Decedes0 Non-cas/Gueris5 Evades0 Transferes0 Total sorties5; Patients en isolement (Fin J) 12; dont confirmes 1; dont suspects 11. Taux d occupation global 37,5% (12/32)"
030,2026-06-13,Ituri,310,,,93.9,60,30,,13,Tableau 5 + Taux d occupation global,"Patients au lit (J-1) 280; Total admissions 60; Decedes13 Non-cas/Gueris16 Evades0 Transferes1 Total sorties30; Patients en isolement (Fin J) 310; dont confirmes 140; dont suspects 170. Taux d occupation global 93,9% (no fraction printed this vintage)"
030,2026-06-13,Nord-Kivu,42,,,59.2,6,0,0,0,Tableau 5 + Taux d occupation global,"Patients au lit (J-1) 36; Total admissions 6; Sorties all 0; Patients en isolement (Fin J) 42; dont confirmes 6; dont suspects 36. Taux d occupation global 59,2%"
030,2026-06-13,Sud-Kivu,7,,,21.9,2,6,6,0,Tableau 5 + Taux d occupation global,"Patients au lit (J-1) 11; Total admissions 2; Decedes0 Non-cas/Gueris6 Evades0 Transferes0 Total sorties6; Patients en isolement (Fin J) 7; dont confirmes 1; dont suspects 6. Taux d occupation global 21,9%"
031,2026-06-14,Ituri,313,,,94.8,44,43,8,9,Tableau 5 + Taux d occupation global,"Patients au lit (J-1) 312; Total admissions 44; Decedes9 Non-cas25 Gueris8 Evades1 Transferes0 Total sorties43; Patients en isolement (Fin J) 313; dont confirmes 140; dont suspects 173. Taux d occupation global 94,8%"
031,2026-06-14,Nord-Kivu,44,,,62.0,8,6,0,0,Tableau 5 + Taux d occupation global,"Patients au lit (J-1) 42; Total admissions 8; Decedes0 Non-cas6 Gueris0 Evades0 Transferes0 Total sorties6; Patients en isolement (Fin J) 44; dont confirmes 14; dont suspects 30. Taux d occupation global 62,0%"
031,2026-06-14,Sud-Kivu,6,,,18.8,2,3,0,0,Tableau 5 + Taux d occupation global,"Patients au lit (J-1) 7; Total admissions 2; Decedes0 Non-cas3 Gueris0 Evades0 Transferes0 Total sorties3; Patients en isolement (Fin J) 6; dont confirmes 1; dont suspects 5. Taux d occupation global 18,8%"
032,2026-06-15,Ituri,321,,,97.3,47,38,1,14,Tableau 6 + Taux d occupation global,"Patients au lit (J-1) 312; Total admissions 47; Decedes14 Non-cas17 Gueris1 Evades6 Transferes0 Total sorties38; Patients en isolement (Fin J) 321; dont confirmes 152; dont suspects 169. Taux d occupation global 97,3%"
032,2026-06-15,Nord-Kivu,45,,,63.4,7,6,0,0,Tableau 6 + Taux d occupation global,"Patients au lit (J-1) 44; Total admissions 7; Decedes0 Non-cas6 Gueris0 Evades0 Transferes0 Total sorties6; Patients en isolement (Fin J) 45; dont confirmes 15; dont suspects 30. Taux d occupation global 63,4%"
032,2026-06-15,Sud-Kivu,10,,,31.3,7,3,0,0,Tableau 6 + Taux d occupation global,"Patients au lit (J-1) 6; Total admissions 7; Decedes0 Non-cas3 Gueris0 Evades0 Transferes0 Total sorties3; Patients en isolement (Fin J) 10; dont confirmes 1; dont suspects 9. Taux d occupation global 31,3%"
033,2026-06-16,Ituri,318,,,96.4,47,50,18,8,Tableau 5 + Taux d occupation global,"Patients au lit (J-1) 321; Total admissions 47; Decedes8 Non-cas23 Gueris18 Evades1 Transferes0 Total sorties50; Patients en isolement (Fin J) 318; dont confirmes 138; dont suspects 180. Taux d occupation global 96,4%"
033,2026-06-16,Nord-Kivu,46,,,64.8,11,10,0,1,Tableau 5 + Taux d occupation global,"Patients au lit (J-1) 45; Total admissions 11; Decedes1 Non-cas9 Gueris0 Evades0 Transferes0 Total sorties10; Patients en isolement (Fin J) 46; dont confirmes 13; dont suspects 33. Taux d occupation global 64,8%"
033,2026-06-16,Sud-Kivu,15,,,46.9,9,4,0,0,Tableau 5 + Taux d occupation global,"Patients au lit (J-1) 10; Total admissions 9; Decedes0 Non-cas4 Gueris0 Evades0 Transferes0 Total sorties4; Patients en isolement (Fin J) 15; dont confirmes 1; dont suspects 14. Taux d occupation global 46,9%"
034,2026-06-17,Ituri,335,,,99.1,61,36,11,7,Tableau 6 + Taux d occupation global,"Patients au lit (J-1) 310; Total admissions 61; Decedes7 Non-cas14 Gueris11 Evades3 Transferes1 Total sorties36; Patients en isolement (Fin J) 335; dont confirmes 143; dont suspects 192. Taux d occupation global 99,1%"
034,2026-06-17,Nord-Kivu,48,,,67.6,6,4,0,0,Tableau 6 + Taux d occupation global,"Patients au lit (J-1) 46; Total admissions 6; Decedes0 Non-cas4 Gueris0 Evades0 Transferes0 Total sorties4; Patients en isolement (Fin J) 48; dont confirmes 18; dont suspects 30. Taux d occupation global 67,6%"
035,2026-06-18,Ituri,349,,,103.3,53,39,2,16,Tableau 6 + Taux d occupation global,"Patients au lit (J-1) 335; Total admissions 53; Decedes16 Non-cas19 Gueris2 Evades2 Transferes0 Total sorties39; Patients en isolement (Fin J) 349; dont confirmes 139; dont suspects 210. Taux d occupation global 103,3% (occupancy exceeds 100%, printed as-is)"
035,2026-06-18,Nord-Kivu,56,,,78.9,8,0,0,0,Tableau 6 + Taux d occupation global,"Patients au lit (J-1) 48; Total admissions 8; Sorties all 0; Patients en isolement (Fin J) 56; dont confirmes 22; dont suspects 34. Taux d occupation global 78,9%"
035,2026-06-18,Sud-Kivu,11,,,34.4,9,13,0,0,Tableau 6 + Taux d occupation global,"Patients au lit (J-1) 15; Total admissions 9; Decedes0 Non-cas13 Gueris0 Evades0 Transferes0 Total sorties13; Patients en isolement (Fin J) 11; dont confirmes 1; dont suspects 10. Taux d occupation global 34,4%"
036,2026-06-19,Ituri,307,,,90.8,59,38,12,5,Tableau 6 + Taux d occupation global,"Patients au lit (J-1) 286; Total admissions 59; Decedes5 Non-cas16 Gueris12 Evades5 Transferes0 Total sorties38; Patients en isolement (Fin J) 307; dont confirmes 124; dont suspects 183. Taux d occupation global 90,8%"
036,2026-06-19,Nord-Kivu,54,,,76.1,6,8,0,0,Tableau 6 + Taux d occupation global,"Patients au lit (J-1) 56; Total admissions 6; Decedes0 Non-cas8 Gueris0 Evades0 Transferes0 Total sorties8; Patients en isolement (Fin J) 54; dont confirmes 24; dont suspects 30. Taux d occupation global 76,1%"
037,2026-06-20,Ituri,302,,,89.3,62,67,6,21,Tableau 6 + Taux d occupation global,"Patients au lit (J-1) 307; Total admissions 62; Decedes21 Non-cas34 Gueris6 Evades6 Transferes0 Total sorties67; Patients en isolement (Fin J) 302; dont confirmes 139; dont suspects 163. Taux d occupation global 89,3%"
037,2026-06-20,Nord-Kivu,52,,,73.2,4,6,0,0,Tableau 6 + Taux d occupation global,"Patients au lit (J-1) 54; Total admissions 4; Decedes0 Non-cas6 Gueris0 Evades0 Transferes0 Total sorties6; Patients en isolement (Fin J) 52; dont confirmes 24; dont suspects 28. Taux d occupation global 73,2%"
037,2026-06-20,Sud-Kivu,11,,,34.4,1,2,2,0,Tableau 6 + Taux d occupation global,"Patients au lit (J-1) 12; Total admissions 1; Decedes0 Non-cas0 Gueris2 Evades0 Transferes0 Total sorties2; Patients en isolement (Fin J) 11; dont confirmes 0; dont suspects 11. Taux d occupation global 34,4%"
038,2026-06-21,Ituri,298,,,88.2,60,56,9,14,Tableau 6 + Taux d occupation global,"Patients au lit (J-1) 294; Total admissions 60; Decedes14 Non-cas28 Gueris9 Evades4 Transferes1 Total sorties56; Patients en isolement (Fin J) 298; dont confirmes 169; dont suspects 129. Taux d occupation global 88,2%"
038,2026-06-21,Nord-Kivu,63,,,88.7,7,3,3,0,Tableau 6 + Taux d occupation global,"Patients au lit (J-1) 59; Total admissions 7; Decedes0 Non-cas0 Gueris3 Evades0 Transferes0 Total sorties3; Patients en isolement (Fin J) 63; dont confirmes 27; dont suspects 36. Taux d occupation global 88,7%"
038,2026-06-21,Sud-Kivu,10,,,31.3,3,0,0,0,Tableau 6 + Taux d occupation global,"Patients au lit (J-1) 7; Total admissions 3; Sorties all 0; Patients en isolement (Fin J) 10; dont confirmes 0; dont suspects 10. Taux d occupation global 31,3%"
039,2026-06-22,Ituri,321,,,87.0,57,34,3,14,Tableau 6 + Taux d occupation global,"Patients au lit (J-1) 298; Total admissions 57; Decedes14 Non-cas16 Gueris3 Evades1 Transferes0 Total sorties34; Patients en isolement (Fin J) 321; dont confirmes 173; dont suspects 148. Taux d occupation global 87,0%"
039,2026-06-22,Nord-Kivu,56,,,54.4,36,7,0,0,Tableau 6 + Taux d occupation global,"Patients au lit (J-1) 27; Total admissions 36; Decedes0 Non-cas7 Gueris0 Evades0 Transferes0 Total sorties7; Patients en isolement (Fin J) 56; dont confirmes 17; dont suspects 39. Taux d occupation global 54,4% (J-1 census 27 is a sharp drop from SitRep 038 Fin J 63 - printed as-is, not reconciled)"
039,2026-06-22,Sud-Kivu,10,,,31.3,0,0,0,0,Tableau 6 + Taux d occupation global,"Patients au lit (J-1) 10; Total admissions 0; Sorties all 0; Patients en isolement (Fin J) 10; dont confirmes 0; dont suspects 10. Taux d occupation global 31,3%"
040,2026-06-23,Ituri,337,,,91.3,46,30,7,9,Tableau 6 + Taux d occupation global,"Patients au lit (J-1) 321; Total admissions 46; Decedes9 Non-cas14 Gueris7 Evades0 Transferes0 Total sorties30; Patients en isolement (Fin J) 337; dont confirmes 175; dont suspects 162. Taux d occupation global 91,3%"
040,2026-06-23,Nord-Kivu,59,,,57.3,8,5,0,0,Tableau 6 + Taux d occupation global,"Patients au lit (J-1) 56; Total admissions 8; Decedes0 Non-cas5 Gueris0 Evades0 Transferes0 Total sorties5; Patients en isolement (Fin J) 59; dont confirmes 17; dont suspects 42. Taux d occupation global 57,3%"
040,2026-06-23,Sud-Kivu,12,,,37.5,7,5,0,0,Tableau 6 + Taux d occupation global,"Patients au lit (J-1) 10; Total admissions 7; Decedes0 Non-cas5 Gueris0 Evades0 Transferes0 Total sorties5; Patients en isolement (Fin J) 12; dont confirmes 0; dont suspects 12. Taux d occupation global 37,5%"
041,2026-06-24,Ituri,313,,,85.3,59,68,16,14,Tableau 6 + Taux d occupation global,"Patients au lit (J-1) 322; Total admissions 59; Decedes14 Non-cas37 Gueris16 Evades1 Transferes0 Total sorties68; Patients en isolement (Fin J) 313; dont confirmes 188; dont suspects 125. Taux d occupation global 85,3%"
041,2026-06-24,Nord-Kivu,59,,,57.3,8,5,0,0,Tableau 6 + Taux d occupation global,"Nord-Kivu* column, footnote: donnees rapportees pour le Nord-Kivu datent du 23 juin 2026 (J-1 du rapport precedent) car celles du 24 juin n etaient pas disponibles. Patients au lit (J-1) 56; Total admissions 8; Decedes0 Non-cas5 Gueris0 Evades0 Transferes0 Total sorties5; Patients en isolement (F..."
041,2026-06-24,Sud-Kivu,13,,,29.5,6,5,0,0,Tableau 6 + Taux d occupation global,"Patients au lit (J-1) 12; Total admissions 6; Decedes0 Non-cas5 Gueris0 Evades0 Transferes0 Total sorties5; Patients en isolement (Fin J) 13; dont confirmes 0; dont suspects 13. Taux d occupation global 29,5%"
042,2026-06-25,Ituri,334,,,89.8,60,39,10,7,Tableau 6 + Taux d occupation global,"Patients au lit (J-1) 313; Total admissions 60; Decedes7 Non-cas21 Gueris10 Evades1 Transferes0 Total sorties39; Patients en isolement (Fin J) 334; dont confirmes 193; dont suspects 141. Taux d occupation global 89,8%"
042,2026-06-25,Nord-Kivu,68,,,66.0,12,0,0,0,Tableau 6 + Taux d occupation global,"Patients au lit (J-1) 56; Total admissions 12; Sorties all 0; Patients en isolement (Fin J) 68; dont confirmes 27; dont suspects 41. Taux d occupation global 66,0%"
042,2026-06-25,Sud-Kivu,17,,,38.6,4,0,0,0,Tableau 6 + Taux d occupation global,"Patients au lit (J-1) 13; Total admissions 4; Sorties all 0; Patients en isolement (Fin J) 17; dont confirmes 0; dont suspects 17. Taux d occupation global 38,6%"
044,2026-06-27,Ituri,338,,,90.9,50,45,15,15,Tableau 6 + Taux d occupation global,"Patients au lit (J-1) 333; Total admissions 50; Decedes15 Non-cas14 Gueris15 Evades1 Transferes0 Total sorties45; Patients en isolement (Fin J) 338; dont confirmes 192; dont suspects 146. Taux d occupation global 90,9%"
044,2026-06-27,Nord-Kivu,143,,,138.8,20,11,0,1,Tableau 6 + Taux d occupation global,"Nord-Kivu* footnote: saturation des isolements des cas suspects observee dans les ZS de Butembo, Kalunguta, Masereka et Musienene. Patients au lit (J-1) 134; Total admissions 20; Decedes1 Non-cas10 Gueris0 Evades0 Transferes0 Total sorties11; Patients en isolement (Fin J) 143; dont confirmes 16; ..."
044,2026-06-27,Sud-Kivu,21,,,47.7,4,0,0,0,Tableau 6 + Taux d occupation global,"Patients au lit (J-1) 17; Total admissions 4; Sorties all 0; Patients en isolement (Fin J) 21; dont confirmes 0; dont suspects 21. Taux d occupation global 47,7%"
046,2026-06-29,Ituri,451,,,102,68,50,6,17,Tableau 6 + Taux d occupation global,Ituri^1 footnote: plusieurs centres de transit (CT) rendus fonctionnels dans differentes ZS de l Ituri ramenant la capacite d accueil a la hausse. Patients au lit (J-1) 449; Total admissions 68; Decedes17 Non-cas24 Gueris6 Evades3 Transferes0 Total sorties50; Patients en isolement (Fin J) 451; do...
046,2026-06-29,Nord-Kivu,135,,,125,11,7,3,1,Tableau 6 + Taux d occupation global,"Patients au lit (J-1) 138; Total admissions 11; Decedes1 Non-cas3 Gueris3 Evades2 Transferes0 Total sorties7; Patients en isolement (Fin J) 135; dont confirmes 16; dont suspects 119. Taux d occupation global 125% (occupancy above 100%, printed as-is)"
046,2026-06-29,Sud-Kivu,23,,,51.1,3,6,0,0,Tableau 6 + Taux d occupation global,"Patients au lit (J-1) 23; Total admissions 3; Decedes0 Non-cas6 Gueris0 Evades0 Transferes0 Total sorties6; Patients en isolement (Fin J) 23; dont confirmes 0; dont suspects 23. Taux d occupation global 51,1%"
049,2026-07-02,Ituri,462,,,90,51,76,15,15,Tableau 6 + Taux d occupation global,Patients au lit (J-1) 487; Total admissions 51; Decedes15 Non-cas45 Gueris15 Evades1 Transferes0 Total sorties76; Patients en isolement (Fin J) 462; dont confirmes 201; dont suspects 261. Taux d occupation global 90%
049,2026-07-02,Nord-Kivu,147,,,136,21,9,1,1,Tableau 6 + Taux d occupation global,Patients au lit (J-1) 135; Total admissions 21; Decedes1 Non-cas7 Gueris1 Evades0 Transferes0 Total sorties9; Patients en isolement (Fin J) 147; dont confirmes 14; dont suspects 133. Taux d occupation global 136%
049,2026-07-02,Sud-Kivu,19,,,42.2,0,3,0,0,Tableau 6 + Taux d occupation global,"Patients au lit (J-1) 22; Total admissions 0; Decedes0 Non-cas3 Gueris0 Evades0 Transferes0 Total sorties3; Patients en isolement (Fin J) 19; dont confirmes 0; dont suspects 19. Taux d occupation global 42,2%"
052,2026-07-05,Ituri,477,,,89.3,79,64,20,10,Tableau 7 + Taux d occupation global,"Patients au lit (J-1) 462; Total admissions 79; Decedes10 Non-cas31 Gueris20 Evades3 Transferes0 Total sorties64; Patients en isolement (Fin J) 477; dont confirmes 191; dont suspects 286. Taux d occupation global 89,3%"
052,2026-07-05,Nord-Kivu,148,,,137.0,19,18,0,0,Tableau 7 + Taux d occupation global,"Patients au lit (J-1) 147; Total admissions 19; Decedes0 Non-cas17 Gueris0 Evades1 Transferes0 Total sorties18; Patients en isolement (Fin J) 148; dont confirmes 14; dont suspects 134. Taux d occupation global 137,0%"
052,2026-07-05,Sud-Kivu,21,,,47.7,6,6,0,0,Tableau 7 + Taux d occupation global,"Patients au lit (J-1) 21; Total admissions 6; Decedes0 Non-cas6 Gueris0 Evades0 Transferes0 Total sorties6; Patients en isolement (Fin J) 21; dont confirmes 0; dont suspects 21. Taux d occupation global 47,7%"
053,2026-07-06,Ituri,508,,,84.0,69,46,7,13,Tableau 7 + Taux d occupation global,"Patients au lit (J-1) 485; Total admissions 69; Decedes13 Non-cas26 Gueris7 Evades1 Transferes0 Total sorties46; Patients en isolement (Fin J) 508; dont confirmes 200; dont suspects 308. Taux d occupation global 84,0%"
053,2026-07-06,Nord-Kivu,148,,,115.0,30,56,0,4,Tableau 7 + Taux d occupation global,"Patients au lit (J-1) 182; Total admissions 30; Decedes4 Non-cas50 Gueris0 Evades2 Transferes0 Total sorties56; Patients en isolement (Fin J) 148; dont confirmes 18; dont suspects 138. Taux d occupation global 115,0%"
053,2026-07-06,Sud-Kivu,24,,,53.3,3,0,0,0,Tableau 7 + Taux d occupation global,"Patients au lit (J-1) 21; Total admissions 3; Sorties all 0; Patients en isolement (Fin J) 24; dont confirmes 0; dont suspects 24. Taux d occupation global 53,3%"
