sitrep,report_date,province,patients_isolated,patients_isolated_normed,beds,occupancy_rate_pct,admissions_24h,discharges_24h,recovered_24h,deaths_incare_24h,source_section,quote
013,2026-05-27,Ituri,103,,,,14,10,0,6,Tableau V (facility aggregate),"Tableau V. Mouvement des malades: 6 Ituri facilities (HGR Bunia 12 lits, HGR Rwampara 18 lits, CME Mungbwalu 27 lits, 4th col 40 lits, HGR Nyakunde, CT Bambu ND lits); Report 99, PPL adm 1, Autres adm 13, Guéris 0, Décédés 6, Non Cas 0, Evadés 4, Total (fin de journée) 103"
013,2026-05-27,Nord-Kivu,0,,19,,0,0,0,0,Tableau V (facility aggregate),"Tableau V, CT HEAL AFRICA (Nord-kivu) 19 lits column: Report 2, Nouvelles Admissions 0, Sorties 0, Total (fin de journée) 0 as printed (internal inconsistency in source: report 2 with zero flow should give 2, printed total is 0)"
015,2026-05-29,Ituri,95,,,,17,21,0,6,Tableau V (facility aggregate),"Tableau V. Mouvement des malades en date du 29/05/2026: Report (fin journee precedente) 99 across HGR Bunia, HGR Rwampara, CME, HGR Mongbwalu, HGR Nyankunde, HGR Bambu, HGR Aru; Nouvelles Admissions PPL 2 Autres 15; Sorties Gueris 0 Decedes 6 Non Cas 0 Evades 15 Transferes 0; Total 95; Malades en..."
016,2026-05-30,Ituri,142,,,,27,12,0,7,Tableau II (facility aggregate),"Tableau II. Mouvement des malades en date du 30/05/2026, 7 Ituri facilities (HGR Bunia, Rwampara, CME, Mongbwalu, Nyankunde, Bambu, Aru): Report 103; Nouvelles Admissions PPL 1 Autres 26; Sorties Guéris 0 Décédés 7 Non Cas 0 Evadés 5 Transférés 0; Total 142 (printed Total exceeds Report+admission..."
017,2026-05-31,Ituri,129,,,,26,18,4,11,Tableau I (facility aggregate) + summary indicator box,"Indicateur box: Patients en isolement 129 (tous CTE confondus); Cas suspects en isolement 104; Guéris du jour 4. Tableau I Mouvement des malades au 31 mai 2026, 7 Ituri facilities: Report 117; Adm PPL5 Autres21; Sorties Guéris0 Décédés11 Non Cas0 Evadés7 Transférés0; Total 129 (Guéris du jour 4 f..."
018,2026-06-01,Ituri,158,,,,21,10,0,7,Tableau 4,Patients presents au lit (fin de journee J-1) 147; Admissions PPL2 autres19 total21; Sorties Gueris0 Decedes suspects6 Decedes confirmes1 Non cas2 Evades confirmes1 total10; Patients en isolement (fin de journee) 158; NC13 AC21 Suspects122 Enfant<5 2
018,2026-06-01,Nord-Kivu,8,,71,11,0,3,0,0,Tableau 4 + prose 4.5,"Nord-Kivu column: Patients presents au lit 8; Admissions 0; Sorties Evades confirmes3 total3; Patients en isolement 8 (5 confirmes, 3 suspects). Prose: 71 lits disponibles au Nord-Kivu pour 8 patients, taux d occupation de 11%"
018,2026-06-01,Sud-Kivu,7,,,,1,2,0,0,Tableau 4 + prose 4.5,"Sud-Kivu column: Patients presents au lit 5; Admissions autres1 total1; Sorties Non cas2 total2; Patients en isolement (fin de journee) 7 (2 confirmes, 5 suspects, dont 2 nourrissons). Prose says file active de 5 patients (2 confirmes et 5 suspects) which sums to 7 matching the table, not 5 - pro..."
019,2026-06-02,Ituri,192,,,,28,27,,8,Tableau 4,Patients au lit (J-1) 191; Total admissions 28; Decedes(Suspects/Conf) 8; Non-cas/Gueris 8; Evades(Suspects/Conf) 11; Total sorties 27; Patients en isolement (Fin J) 192; dont confirmes(NC+AC) 40; dont suspects 152
019,2026-06-02,Nord-Kivu,8,,,,1,1,,1,Tableau 4,Patients au lit (J-1) 8; Total admissions 1; Decedes(Suspects/Conf) 1; Non-cas/Gueris 0; Evades 0; Total sorties 1; Patients en isolement (Fin J) 8; dont confirmes 5; dont suspects 3
019,2026-06-02,Sud-Kivu,6,,,,1,0,0,0,Tableau 4,Patients au lit (J-1) 5; Total admissions 1; Decedes 0; Non-cas/Gueris 0; Evades 0; Total sorties 0; Patients en isolement (Fin J) 6; dont confirmes 2; dont suspects 4
020,2026-06-03,Ituri,220,,,,47,35,0,11,Tableau 4,Patients au lit (J-1) 208; Total admissions 47; Sorties Decedes11 Non-cas5 Gueris0 Evades19 Total sorties35; Patients en isolement (Fin J) 220; dont confirmes 57; dont suspects 163
020,2026-06-03,Nord-Kivu,8,,,,1,1,1,0,Tableau 4,Patients au lit (J-1) 8; Total admissions 1; Sorties Decedes0 Non-cas0 Gueris1 Evades0 Total sorties1; Patients en isolement (Fin J) 8; dont confirmes 4; dont suspects 4
020,2026-06-03,Sud-Kivu,5,,,,0,1,0,0,Tableau 4,Patients au lit (J-1) 6; Total admissions 0; Sorties Decedes0 Non-cas0 Gueris0 Evades1 Total sorties1; Patients en isolement (Fin J) 5; dont confirmes 1; dont suspects 4
021,2026-06-04,Ituri,243,,,,61,37,,6,Tableau 4,Patients au lit (J-1) 219; Total admissions 61; Decedes(Suspects/Conf) 6; Non-cas/Gueris 17; Evades 14; Total sorties 37; Patients en isolement (Fin J) 243; dont confirmes 66; dont suspects 177
021,2026-06-04,Nord-Kivu,9,,,,1,0,0,0,Tableau 4,Patients au lit (J-1) 8; Total admissions 1; Decedes0 Non-cas/Gueris0 Evades0 Total sorties0; Patients en isolement (Fin J) 9; dont confirmes 5; dont suspects 4
021,2026-06-04,Sud-Kivu,6,,,,0,0,0,0,Tableau 4,Patients au lit (J-1) 6; Total admissions 0; Decedes0 Non-cas/Gueris0 Evades0 Total sorties0; Patients en isolement (Fin J) 6; dont confirmes 1; dont suspects 5
022,2026-06-05,Ituri,251,,,,37,22,,7,Tableau 4,Patients au lit (J-1) 236; Total admissions 37; Decedes(Suspects/Conf) 7; Non-cas/Gueris 5; Evades 10; Total sorties 22; Patients en isolement (Fin J) 251; dont confirmes 83; dont suspects 168
022,2026-06-05,Nord-Kivu,9,,,,1,0,0,0,Tableau 4,Patients au lit (J-1) 8; Total admissions 1; Decedes0 Non-cas/Gueris0 Evades0 Total sorties0; Patients en isolement (Fin J) 9; dont confirmes 5; dont suspects 4
022,2026-06-05,Sud-Kivu,7,,,,0,0,0,0,Tableau 4,Patients au lit (J-1) 7; Total admissions 0; Decedes0 Non-cas/Gueris0 Evades0 Total sorties0; Patients en isolement (Fin J) 7; dont confirmes 1; dont suspects 6
023,2026-06-06,Ituri,260,,,,29,26,,7,Tableau 4,Patients au lit (J-1) 257; Total admissions 29; Decedes(Suspects/Conf) 7; Non-cas/Gueris 13; Evades 6; Total sorties 26; Patients en isolement (Fin J) 260; dont confirmes 99; dont suspects 161
023,2026-06-06,Nord-Kivu,16,,,,1,1,1,0,Tableau 4,Patients au lit (J-1) 16; Total admissions 1; Decedes0 Non-cas/Gueris1 Evades0 Total sorties1; Patients en isolement (Fin J) 16; dont confirmes 5; dont suspects 11
023,2026-06-06,Sud-Kivu,7,,,,0,0,0,0,Tableau 4,Patients au lit (J-1) 7; Total admissions 0; Sorties all 0; Patients en isolement (Fin J) 7; dont confirmes 1; dont suspects 6
024,2026-06-07,Ituri,284,,,,55,31,,9,Tableau 5,Patients au lit (J-1) 260; Total admissions 55; Decedes(Suspects/Conf) 9; Non-cas/Gueris 11; Evades 10; Transferes a l HGR 1; Total sorties 31; Patients en isolement (Fin J) 284; dont confirmes 110; dont suspects 174
024,2026-06-07,Nord-Kivu,18,,,,6,4,0,4,Tableau 5,Patients au lit (J-1) 16; Total admissions 6; Decedes(Suspects/Conf) 4; Non-cas/Gueris 0; Evades 0; Transferes 0; Total sorties 4; Patients en isolement (Fin J) 18; dont confirmes 5; dont suspects 13
024,2026-06-07,Sud-Kivu,7,,,,0,0,0,0,Tableau 5,Patients au lit (J-1) 7; Total admissions 0; Sorties all 0; Patients en isolement (Fin J) 7; dont confirmes 1; dont suspects 6
