sitrep,report_date,pdf,page,width,height,image_md5,y_axis_step,pixels_per_count,pixels_per_day,pixels_per_day_fit,fit_source,fit_points,drift_days,last_tick,printed_n,printed_n_source,digitised_total,gap_pct,reprint_of,note
080,2026-08-02,SitRep_MVE_080_2026.pdf,5,1000,610,b4f91e00f13ea7d8a76d051f8549ee85,20,4.7500,6.6429,6.6272,ticks,18,-0.2369,2026-07-29,2915,ocr title+source,2770,-4.9743,079,
081,2026-08-03,SitRep_MVE_081_2026.pdf,5,1017,520,fa821027e11cb1ca9afbf0f0c39750c6,20,4.0500,6.7143,6.7473,ticks,18,0.4894,2026-07-29,3066,ocr title,2926,-4.5662,,
082,2026-08-04,SitRep_MVE_082_2026.pdf,5,1102,640,c338308cd2192bc5e2377b49a95363a8,20,4.9750,7.1429,7.1754,ticks,19,0.4541,2026-08-05,3092,ocr title+source,2967,-4.0427,,
083,2026-08-05,SitRep_MVE_083_2026.pdf,5,1102,640,cf612a08dcacbbfb9f3a55c2a017a85d,20,4.9750,7.1429,7.1754,ticks,19,0.4541,2026-08-05,3092,ocr title+source,3033,-1.9082,,
087,2026-08-09,SitRep_MVE_087_2026.pdf,3,966,571,06cbdfcd4110fa6ae0a5995518d86cd8,25,4.3200,6.1429,6.1185,ticks,20,-0.3985,2026-08-05,3362,ocr title+source,3233,-3.8370,,
088,2026-08-10,SitRep_MVE_088_2026.pdf,4,966,571,9833691aec5b1a2477339cd49c010d5c,25,4.3200,6.1429,6.0842,labels,19,-0.9648,2026-08-05,3362,ocr title+source,3049,-9.3099,,
089,2026-08-11,SitRep_MVE_089_2026.pdf,4,966,571,9833691aec5b1a2477339cd49c010d5c,25,4.3200,6.1429,6.0842,labels,19,-0.9648,2026-08-05,3362,ocr title+source,3049,-9.3099,088,
090,2026-08-12,SitRep_MVE_090_2026.pdf,4,966,571,9833691aec5b1a2477339cd49c010d5c,25,4.3200,6.1429,6.0842,labels,19,-0.9648,2026-08-05,3362,ocr title+source,3049,-9.3099,088,
091,2026-08-13,SitRep_MVE_091_2026.pdf,4,966,571,9833691aec5b1a2477339cd49c010d5c,25,4.3200,6.1429,6.0842,labels,19,-0.9648,2026-08-05,3362,ocr title+source,3049,-9.3099,088,
092,2026-08-14,SitRep_MVE_092_2026.pdf,4,792,519,24c941c3b5bce77797d9f57cc8dff7cc,25,3.2000,4.8571,4.8266,ticks,19,-0.6335,2026-08-10,3767,ocr title+source,3525,-6.4242,,
093,2026-08-15,SitRep_MVE_093_2026.pdf,4,792,519,24c941c3b5bce77797d9f57cc8dff7cc,25,3.2000,4.8571,4.8266,ticks,19,-0.6335,2026-08-10,3767,ocr title+source,3525,-6.4242,092,
094,2026-08-16,SitRep_MVE_094_2026.pdf,4,834,540,79b02d218958567132f1dd3ddaeb81e0,25,3.5600,5.1429,5.0778,ticks,20,-1.2819,2026-08-17,3838,ocr title,3559,-7.2694,,
095,2026-08-17,SitRep_MVE_095_2026.pdf,4,834,540,79b02d218958567132f1dd3ddaeb81e0,25,3.5600,5.1429,5.0778,ticks,20,-1.2819,2026-08-17,3838,ocr title,3559,-7.2694,094,
096,2026-08-18,SitRep_MVE_096_2026.pdf,4,834,540,79b02d218958567132f1dd3ddaeb81e0,25,3.5600,5.1429,5.0778,ticks,20,-1.2819,2026-08-17,3838,ocr title,3559,-7.2694,094,
097,2026-08-19,SitRep_MVE_097_2026.pdf,4,832,496,5e3871dc026bd490882154c5335367a9,25,3.4000,5.0000,5.0261,labels,20,0.5195,2026-08-17,4084,ocr title+source,3886,-4.8482,,
099,2026-08-21,SitRep_MVE_099_2026.pdf,4,830,517,e7c8f6d0e7a1cbfd205e3f96721e24c6,25,3.3600,4.9286,4.9246,labels,20,-0.0811,2026-08-17,4140,ocr title+source,3959,-4.3720,,
100,2026-08-22,SitRep_MVE_100_2026.pdf,4,828,508,ea86630ac5db527f7ea581d1c3a6e886,25,3.2000,4.8571,4.8185,ticks,20,-0.8025,2026-08-17,4238,ocr title+source,4066,-4.0585,,
101,2026-08-23,SitRep_MVE_101_2026.pdf,4,827,534,40c52d936351e437a9d94c96dba727d4,25,3.6000,4.8571,4.8123,labels,21,-0.9327,2026-08-24,4287,ocr title,4084,-4.7352,,source strip read 4
102,2026-08-24,SitRep_MVE_102_2026.pdf,4,825,455,260dc08d4f2271db54954d0c0885fba2,25,2.8400,4.8571,4.7823,labels,21,-1.5647,2026-08-24,4372,ocr title+source,4024,-7.9597,,
103,2026-08-25,SitRep_MVE_103_2026.pdf,4,823,501,dd8bb309b3bc21efc77de8928d2b02ec,25,3.3600,4.7143,4.7497,labels,21,0.7452,2026-08-24,4454,ocr title,4245,-4.6924,,
104,2026-08-26,SitRep_MVE_104_2026.pdf,4,1118,710,dcd7e8e6d1aadd5b247e7c606dace6c7,25,4.2800,6.2857,6.2655,ticks,21,-0.3228,2026-08-24,4502,ocr title+source,4426,-1.6881,,
105,2026-08-27,SitRep_MVE_105_2026.pdf,4,1118,710,dcd7e8e6d1aadd5b247e7c606dace6c7,25,4.2800,6.2857,6.2655,ticks,21,-0.3228,2026-08-24,4502,ocr title+source,4426,-1.6881,104,
106,2026-08-28,SitRep_MVE_106_2026.pdf,4,778,440,3519ed62ed3c0d21a9ba388089c573e3,25,2.6000,4.2857,4.3065,ticks,21,0.4825,2026-08-24,4628,ocr title,4212,-8.9888,,
107,2026-08-29,SitRep_MVE_107_2026.pdf,4,778,440,3519ed62ed3c0d21a9ba388089c573e3,25,2.6000,4.2857,4.3065,ticks,21,0.4825,2026-08-24,4628,ocr title,4212,-8.9888,106,
108,2026-08-30,SitRep_MVE_108_2026.pdf,4,802,479,d55e26304939b9712dc1a6e71719add2,25,3.0000,4.4286,4.4424,ticks,22,0.3105,2026-08-31,4763,ocr title+source,4124,-13.4159,,
109,2026-08-31,SitRep_MVE_109_2026.pdf,4,802,479,d55e26304939b9712dc1a6e71719add2,25,3.0000,4.4286,4.4424,ticks,22,0.3105,2026-08-31,4763,ocr title+source,4124,-13.4159,108,
111,2026-09-02,SitRep_MVE_111_2026.pdf,4,775,477,bed7285425edfedef95c03ea3618409c,25,3.0800,4.2143,4.2105,ticks,22,-0.0891,2026-08-31,4936,ocr title+source,4552,-7.7796,,
112,2026-09-03,SitRep_MVE_112_2026.pdf,4,771,433,5cfcba72dcaf140994d8cdfcf0abe631,25,2.5600,4.1429,4.1571,ticks,22,0.3434,2026-08-31,4997,ocr title,4588,-8.1849,,
113,2026-09-04,SitRep_MVE_113_2026.pdf,4,771,475,29110194d73ad1fc99e3f83d7f55d60b,25,3.0400,4.1429,4.1047,labels,22,-0.9290,2026-08-31,5096,ocr title+source,4459,-12.5000,,
114,2026-09-05,SitRep_MVE_114_2026.pdf,4,770,469,9ef1371c5abe7c471db328db82873061,25,2.9600,4.1429,4.1000,labels,22,-1.0463,2026-08-31,5119,ocr title,4570,-10.7248,,source strip read 5779
115,2026-09-06,SitRep_MVE_115_2026.pdf,4,767,470,04fab2a551ddd6916c12d000f4c4a1b1,25,2.8800,4.0000,4.0301,labels,23,0.7473,2026-09-07,5069,ocr title,4558,-10.0809,,source strip read 5
116,2026-09-07,SitRep_MVE_116_2026.pdf,4,765,445,f50d4fc794adb7da62b949cf381608f5,25,2.8400,4.0000,4.0345,labels,23,0.8563,2026-09-07,5126,ocr title+source,4444,-13.3047,,
117,2026-09-08,SitRep_MVE_117_2026.pdf,4,764,467,5dcbbaafc5c016f9ff9713210cee41dd,25,2.8400,4.0000,3.9681,labels,23,-0.8033,2026-09-07,5197,ocr title+source,4470,-13.9888,,
118,2026-09-09,SitRep_MVE_118_2026.pdf,4,764,471,bdd0928fc33aeebaf59de5ae56b9895d,25,2.8800,4.0000,3.9418,labels,23,-1.4754,2026-09-07,5263,ocr title+source,4362,-17.1195,,
119,2026-09-10,SitRep_MVE_119_2026.pdf,4,760,471,0109ddd0bc09b6a83e31e1128ad2ac7e,25,2.8800,4.1429,4.0627,labels,23,-1.9739,2026-09-07,5326,ocr title,4485,-15.7905,,
120,2026-09-11,SitRep_MVE_120_2026.pdf,4,759,477,3f23df5c0355c8ae06804070a9dcf445,25,2.9800,3.8571,3.8738,labels,23,0.4303,2026-09-07,5398,ocr title+source,4524,-16.1912,,
121,2026-09-12,SitRep_MVE_121_2026.pdf,4,756,454,4ea57fcc32d85318243985d81f5cefba,25,2.6800,3.8571,3.8233,labels,23,-0.8845,2026-09-07,5480,ocr title+source,4724,-13.7956,,
122,2026-09-13,SitRep_MVE_122_2026.pdf,4,758,480,163f42d7878f414c11150bec63216690,25,3.0400,3.8571,3.8317,labels,24,-0.6646,2026-09-14,5554,ocr title+source,4667,-15.9705,,
123,2026-09-14,SitRep_MVE_123_2026.pdf,4,755,452,76b6c4b3b3f7d4b00bd34f37ccb5b7b9,25,2.7600,3.8571,3.7856,labels,24,-1.8909,2026-09-14,5626,ocr title+source,4615,-17.9701,,
124,2026-09-15,SitRep_MVE_124_2026.pdf,4,754,462,93f0a5a4cedbdf1369b76a85bd2587d8,25,2.8000,3.7143,3.7330,ticks,25,0.5020,2026-09-14,5658,ocr title+source,4618,-18.3811,,
125,2026-09-16,SitRep_MVE_125_2026.pdf,4,751,420,72de62a3c70f0d8eb471c6753dce46e4,25,2.6000,3.7143,3.7593,labels,24,1.1968,2026-09-14,5693,ocr title+source,4756,-16.4588,,
126,2026-09-17,SitRep_MVE_126_2026.pdf,4,750,476,2f98d163b0cce65d3eceb0a35e245d93,25,3.0000,3.7143,3.6869,labels,24,-0.7439,2026-09-14,5771,ocr title,4778,-17.2067,,
127,2026-09-18,SitRep_MVE_127_2026.pdf,4,747,479,37149b5a4e4a7a6ab21bdfdd1e8aa19d,25,3.0000,3.7143,3.6464,labels,24,-1.8619,2026-09-14,5797,ocr title,4709,-18.7683,,
128,2026-09-19,SitRep_MVE_128_2026.pdf,4,747,451,d45d5d81842a6f0a9e7527dea2ce28a6,25,2.7600,3.7143,3.6429,labels,24,-1.9598,2026-09-14,5854,ocr title,4913,-16.0745,,
129,2026-09-20,SitRep_MVE_129_2026.pdf,4,745,445,5a1e1ebf9bfe40a356ba085d792ff3cd,25,2.8400,3.7143,3.6335,labels,25,-2.2229,2026-09-21,5896,ocr title,4587,-22.2015,,source strip read 5
130,2026-09-21,SitRep_MVE_130_2026.pdf,4,742,449,69aa0adf1f5c5bcc027d17a13159b0bd,25,2.8000,3.5714,3.5784,labels,25,0.1938,2026-09-21,5944,ocr title+source,4559,-23.3008,,
