sitrep,report_date,pdf,page,width,height,image_md5,y_axis_step,pixels_per_count,pixels_per_day,pixels_per_day_fit,fit_source,fit_points,drift_days,last_tick,printed_n,printed_n_source,digitised_total,gap_pct,reprint_of,note
059,2026-07-12,SitRep_MVE_059_2026.pdf,5,1260,734,c967368f3a8f9d6595c25903e59d1941,20,8.6500,11.5714,11.5286,ticks,15,-0.3717,2026-07-12,,,1821,,,not in the text layer; OCR of the title and source strips found no n
060,2026-07-13,SitRep_MVE_060_2026.pdf,6,1140,665,7156ad647d011f7136534d0190113741,20,7.8500,10.4286,10.4286,ticks,15,0.0000,2026-07-12,,,1821,,,not in the text layer; OCR of the title and source strips found no n
061,2026-07-14,SitRep_MVE_061_2026.pdf,6,1143,665,c49cfd42a33a4f145c457be877ae0aee,20,7.8500,10.2857,10.2536,ticks,15,-0.3135,2026-07-12,,,1895,,,not in the text layer; OCR of the title and source strips found no n
062,2026-07-15,SitRep_MVE_062_2026.pdf,6,1143,665,a4a744ce3310c3d48f5e506070b76941,20,7.8500,10.2857,10.2536,ticks,15,-0.3135,2026-07-12,,,1895,,061,not in the text layer; OCR of the title and source strips found no n
064,2026-07-17,SitRep_MVE_064_2026.pdf,5,1257,698,f53f9a1ee81ced5fd9b14366bf8f6c34,20,6.9500,9.5714,9.5774,ticks,17,0.0622,2026-07-15,2064,ocr title+source,2018,-2.2287,,
065,2026-07-18,SitRep_MVE_065_2026.pdf,5,1275,737,3b7bf33c16888f387487635b82f2677f,20,7.4000,9.5714,9.5984,ticks,17,0.2809,2026-07-15,2090,ocr title+source,1996,-4.4976,,
066,2026-07-19,SitRep_MVE_066_2026.pdf,5,1275,623,65fcd2e66b552c01ad202dcb38263af7,20,5.9500,9.5714,9.6006,labels,16,0.3042,2026-07-15,2175,ocr title+source,2108,-3.0805,,
067,2026-07-20,SitRep_MVE_067_2026.pdf,5,1201,624,8963f62aa475de1b3af4c7629aed0f52,20,5.6000,8.8571,8.9258,ticks,16,0.7690,2026-07-15,2233,ocr title+source,2161,-3.2244,,
068,2026-07-21,SitRep_MVE_068_2026.pdf,5,1074,619,8d0cac9548570311e7543e75165e2f69,20,5.5000,7.8571,7.8350,ticks,18,-0.2822,2026-07-22,2308,ocr title+source,2344,1.5598,,
069,2026-07-22,SitRep_MVE_069_2026.pdf,6,1009,583,88ca44621ce5f5491dea588191b52a3c,20,5.6000,7.2857,7.3513,ticks,18,0.8924,2026-07-22,2329,ocr title+source,2260,-2.9626,,
070,2026-07-23,SitRep_MVE_070_2026.pdf,6,1009,583,88ca44621ce5f5491dea588191b52a3c,20,5.6000,7.2857,7.3513,ticks,18,0.8924,2026-07-22,2329,ocr title+source,2260,-2.9626,069,
071,2026-07-24,SitRep_MVE_071_2026.pdf,6,1009,583,88ca44621ce5f5491dea588191b52a3c,20,5.6000,7.2857,7.3513,ticks,18,0.8924,2026-07-22,2329,ocr title+source,2260,-2.9626,069,
072,2026-07-25,SitRep_MVE_072_2026.pdf,5,1277,799,f994475da231a855e17a01ab6e7a660c,20,7.1500,8.8571,8.9503,ticks,18,1.0410,2026-07-22,2521,ocr title+source,2531,0.3967,,
073,2026-07-26,SitRep_MVE_073_2026.pdf,6,1294,745,70a77f952e6ef13248187f2870d45094,20,6.4000,9.0000,9.0087,ticks,18,0.0966,2026-07-22,2567,ocr title+source,2523,-1.7141,,
074,2026-07-27,SitRep_MVE_074_2026.pdf,5,1294,745,70a77f952e6ef13248187f2870d45094,20,6.4000,9.0000,9.0087,ticks,18,0.0966,2026-07-22,2567,ocr title+source,2523,-1.7141,073,
077,2026-07-30,SitRep_MVE_077_2026.pdf,5,1370,853,95f00273b20f7873241fa3213d22b988,20,7.3000,9.2857,9.2947,ticks,19,0.0971,2026-07-29,2814,ocr title+source,2734,-2.8429,,
078,2026-07-31,SitRep_MVE_078_2026.pdf,5,1006,582,f442acb19b9a5edc75683e62dbd933eb,20,4.3500,6.7143,6.7148,ticks,19,0.0075,2026-07-29,2855,ocr title+source,2695,-5.6042,,
079,2026-08-01,SitRep_MVE_079_2026.pdf,5,1000,610,b4f91e00f13ea7d8a76d051f8549ee85,20,4.7500,6.6429,6.6272,ticks,18,-0.2369,2026-07-29,2915,ocr title+source,2770,-4.9743,,
