release,made_date,stream,horizon,target_date,fit,observed,median,lo30,hi30,lo60,hi60,lo90,hi90
results-v1.4.0 (backfill),2026-06-07,confirmed cases,7,2026-06-14,baseline,258.0,241.5,208.0,262.0,175.8,293.2,116.95,336.0
results-v1.4.0 (backfill),2026-06-07,confirmed cases,7,2026-06-14,joint,258.0,527.0,94.5,938.8,0.0,1883.6,0.0,3766.75
results-v1.4.0 (backfill),2026-06-07,confirmed cases,14,2026-06-21,baseline,498.0,453.0,412.3,494.0,357.0,544.0,271.9,627.15
results-v1.4.0 (backfill),2026-06-07,confirmed cases,14,2026-06-21,joint,498.0,795.0,322.45,1690.05,0.0,2919.8,0.0,6939.65
results-v1.4.0 (backfill),2026-06-07,confirmed cases,21,2026-06-28,joint,724.0,1284.0,517.65,2694.7,0.0,4637.6,0.0,18554.55
results-v1.4.0 (backfill),2026-06-07,confirmed cases,28,2026-07-05,joint,1074.0,2205.5,935.65,3785.2,185.8,8493.6,0.0,38894.65
results-v1.5.0 (backfill),2026-06-10,confirmed cases,7,2026-06-17,baseline,220.0,296.0,272.65,320.35,242.8,347.0,189.0,413.25
results-v1.5.0 (backfill),2026-06-10,confirmed cases,7,2026-06-17,joint,220.0,469.0,64.55,910.75,0.0,1610.4,0.0,2939.75
results-v1.5.0 (backfill),2026-06-10,confirmed cases,14,2026-06-24,baseline,479.0,545.0,501.65,586.35,454.8,644.0,351.0,740.05
results-v1.5.0 (backfill),2026-06-10,confirmed cases,14,2026-06-24,joint,479.0,946.5,347.75,1647.15,0.0,2922.0,0.0,6202.55
results-v1.5.0 (backfill),2026-06-10,confirmed cases,21,2026-07-01,baseline,784.0,618.0,606.0,630.35,595.0,641.0,576.95,661.05
results-v1.5.0 (backfill),2026-06-10,confirmed cases,21,2026-07-01,joint,784.0,1991.5,1053.65,3147.05,307.8,5298.2,0.0,10617.8
results-v1.5.0 (backfill),2026-06-10,confirmed cases,28,2026-07-08,joint,1116.0,2994.5,1466.5,5175.1,558.2,9424.4,0.0,35573.6
results-v1.7.0 (backfill),2026-07-01,confirmed cases,7,2026-07-08,baseline,332.0,305.67,281.43,330.54,252.41,363.02,208.75,413.16
results-v1.7.0 (backfill),2026-07-01,confirmed cases,7,2026-07-08,joint,332.0,601.5,466.0,708.5,354.6,975.4,217.65,1430.35
results-v1.7.0 (backfill),2026-07-01,confirmed cases,14,2026-07-15,baseline,664.0,562.85,521.52,602.1,482.28,644.33,398.01,727.07
results-v1.7.0 (backfill),2026-07-01,confirmed cases,14,2026-07-15,joint,664.0,1658.5,1283.0,2178.05,826.6,3209.2,401.25,8372.7
results-v1.7.0 (backfill),2026-07-01,confirmed cases,21,2026-07-22,baseline,1173.0,780.7,730.56,829.33,678.85,877.2,594.8,981.4
results-v1.7.0 (backfill),2026-07-01,confirmed cases,21,2026-07-22,joint,1173.0,3199.5,2149.2,5533.7,1319.8,10628.6,496.35,47488.4
results-v1.7.0 (backfill),2026-07-01,confirmed cases,28,2026-07-29,baseline,1628.0,1081.18,1029.36,1139.03,953.32,1235.16,831.38,1377.14
results-v1.7.0 (backfill),2026-07-01,confirmed cases,28,2026-07-29,joint,1628.0,4968.0,2883.2,10190.5,1842.8,34601.2,738.1,512329.85
results-v1.8.0 (backfill),2026-07-06,confirmed cases,7,2026-07-13,baseline,303.0,372.89,343.22,403.42,309.23,430.4,255.8,488.4
results-v1.8.0 (backfill),2026-07-06,confirmed cases,7,2026-07-13,joint,303.0,541.5,422.65,651.35,341.0,792.0,180.95,1110.55
results-v1.8.0 (backfill),2026-07-06,confirmed cases,14,2026-07-20,baseline,765.0,609.83,570.11,646.25,521.97,698.74,437.89,790.06
results-v1.8.0 (backfill),2026-07-06,confirmed cases,14,2026-07-20,joint,765.0,1107.5,894.0,1395.6,704.0,1901.4,407.75,2952.0
results-v1.8.0 (backfill),2026-07-06,confirmed cases,21,2026-07-27,baseline,1380.0,864.67,819.0,911.23,760.52,970.97,644.34,1112.62
results-v1.8.0 (backfill),2026-07-06,confirmed cases,21,2026-07-27,joint,1380.0,1972.5,1483.25,2515.65,1030.4,3404.0,608.0,6686.45
results-v1.8.0 (backfill),2026-07-06,confirmed cases,28,2026-08-03,baseline,1894.0,1076.93,1031.74,1160.72,963.78,1236.42,856.04,1355.95
results-v1.8.0 (backfill),2026-07-06,confirmed cases,28,2026-08-03,joint,1894.0,2828.0,2104.45,3910.45,1463.2,6431.2,838.8,14394.4
results-v1.9.0 (backfill),2026-07-08,confirmed cases,7,2026-07-15,baseline,332.0,331.5,302.83,353.59,274.66,385.63,207.15,432.37
results-v1.9.0 (backfill),2026-07-08,confirmed cases,7,2026-07-15,joint,332.0,559.0,441.95,669.35,330.8,792.6,153.0,1233.0
results-v1.9.0 (backfill),2026-07-08,confirmed cases,14,2026-07-22,baseline,841.0,642.91,603.3,678.49,542.83,726.12,476.16,793.45
results-v1.9.0 (backfill),2026-07-08,confirmed cases,14,2026-07-22,joint,841.0,1180.0,943.25,1402.75,755.0,1736.2,418.5,2473.0
results-v1.9.0 (backfill),2026-07-08,confirmed cases,21,2026-07-29,baseline,1296.0,894.49,845.52,941.53,778.57,1004.44,672.69,1111.46
results-v1.9.0 (backfill),2026-07-08,confirmed cases,21,2026-07-29,joint,1296.0,2012.0,1583.0,2450.75,1194.4,3100.0,644.5,5008.85
