sitrep,report_date,province,patients_isolated,patients_isolated_normed,beds,occupancy_rate_pct,admissions_24h,discharges_24h,recovered_24h,deaths_incare_24h,source_section,quote
"018","2026-06-01","Ituri",158,,,,21,,,,"occupancy table (Mouvement des patients / Occupation des structures de soins)",""
"018","2026-06-01","Nord-Kivu",8,,,,0,,,,"occupancy table (Mouvement des patients / Occupation des structures de soins)",""
"018","2026-06-01","Sud-Kivu",7,,,,1,,,,"occupancy table (Mouvement des patients / Occupation des structures de soins)",""
"019","2026-06-02","Ituri",192,,,,28,,,,"occupancy table (Mouvement des patients / Occupation des structures de soins)",""
"019","2026-06-02","Nord-Kivu",8,,,,1,,,,"occupancy table (Mouvement des patients / Occupation des structures de soins)",""
"019","2026-06-02","Sud-Kivu",6,,,,1,,,,"occupancy table (Mouvement des patients / Occupation des structures de soins)",""
"020","2026-06-03","Ituri",220,,,,47,,,,"occupancy table (Mouvement des patients / Occupation des structures de soins)",""
"020","2026-06-03","Nord-Kivu",8,,,,1,,,,"occupancy table (Mouvement des patients / Occupation des structures de soins)",""
"020","2026-06-03","Sud-Kivu",5,,,,0,,,,"occupancy table (Mouvement des patients / Occupation des structures de soins)",""
"021","2026-06-04","Ituri",243,,,,61,,,,"occupancy table (Mouvement des patients / Occupation des structures de soins)",""
"021","2026-06-04","Nord-Kivu",9,,,,1,,,,"occupancy table (Mouvement des patients / Occupation des structures de soins)",""
"021","2026-06-04","Sud-Kivu",6,,,,0,,,,"occupancy table (Mouvement des patients / Occupation des structures de soins)",""
"022","2026-06-05","Ituri",251,,,,37,,,,"occupancy table (Mouvement des patients / Occupation des structures de soins)",""
"022","2026-06-05","Nord-Kivu",9,,,,1,,,,"occupancy table (Mouvement des patients / Occupation des structures de soins)",""
"022","2026-06-05","Sud-Kivu",7,,,,0,,,,"occupancy table (Mouvement des patients / Occupation des structures de soins)",""
"023","2026-06-06","Ituri",260,,,,29,,,,"occupancy table (Mouvement des patients / Occupation des structures de soins)",""
"023","2026-06-06","Nord-Kivu",16,,,,1,,,,"occupancy table (Mouvement des patients / Occupation des structures de soins)",""
"023","2026-06-06","Sud-Kivu",7,,,,0,,,,"occupancy table (Mouvement des patients / Occupation des structures de soins)",""
"024","2026-06-07","Ituri",284,,,,55,,,,"occupancy table (Mouvement des patients / Occupation des structures de soins)",""
"024","2026-06-07","Nord-Kivu",18,,,,6,,,,"occupancy table (Mouvement des patients / Occupation des structures de soins)",""
"024","2026-06-07","Sud-Kivu",7,,,,0,,,,"occupancy table (Mouvement des patients / Occupation des structures de soins)",""
"025","2026-06-08","Ituri",266,,,,27,,,,"occupancy table (Mouvement des patients / Occupation des structures de soins)",""
"025","2026-06-08","Nord-Kivu",24,,,,7,,,,"occupancy table (Mouvement des patients / Occupation des structures de soins)",""
"025","2026-06-08","Sud-Kivu",7,,,,0,,,,"occupancy table (Mouvement des patients / Occupation des structures de soins)",""
"026","2026-06-09","Ituri",237,,,,31,,,,"occupancy table (Mouvement des patients / Occupation des structures de soins)",""
"026","2026-06-09","Nord-Kivu",17,,,,0,,,,"occupancy table (Mouvement des patients / Occupation des structures de soins)",""
"026","2026-06-09","Sud-Kivu",6,,,,0,,,,"occupancy table (Mouvement des patients / Occupation des structures de soins)",""
"027","2026-06-10","Ituri",239,,,,26,,,,"occupancy table (Mouvement des patients / Occupation des structures de soins)",""
"027","2026-06-10","Nord-Kivu",17,,,,0,,,,"occupancy table (Mouvement des patients / Occupation des structures de soins)",""
"027","2026-06-10","Sud-Kivu",6,,,,0,,,,"occupancy table (Mouvement des patients / Occupation des structures de soins)",""
"028","2026-06-11","Ituri",272,,,77.9,47,,,,"occupancy table (Mouvement des patients / Occupation des structures de soins)",""
"028","2026-06-11","Nord-Kivu",31,,,43.7,18,,,,"occupancy table (Mouvement des patients / Occupation des structures de soins)",""
"028","2026-06-11","Sud-Kivu",12,,,37.5,10,,,,"occupancy table (Mouvement des patients / Occupation des structures de soins)",""
"030","2026-06-13","Ituri",310,,,93.9,60,,,,"occupancy table (Mouvement des patients / Occupation des structures de soins)",""
"030","2026-06-13","Nord-Kivu",42,,,59.2,6,,,,"occupancy table (Mouvement des patients / Occupation des structures de soins)",""
"030","2026-06-13","Sud-Kivu",7,,,21.9,2,,,,"occupancy table (Mouvement des patients / Occupation des structures de soins)",""
"031","2026-06-14","Ituri",313,,,94.8,44,,,,"occupancy table (Mouvement des patients / Occupation des structures de soins)",""
"031","2026-06-14","Nord-Kivu",44,,,62.0,8,,,,"occupancy table (Mouvement des patients / Occupation des structures de soins)",""
"031","2026-06-14","Sud-Kivu",6,,,18.8,2,,,,"occupancy table (Mouvement des patients / Occupation des structures de soins)",""
"032","2026-06-15","Ituri",321,,,97.3,47,,,,"occupancy table (Mouvement des patients / Occupation des structures de soins)",""
"032","2026-06-15","Nord-Kivu",45,,,63.4,7,,,,"occupancy table (Mouvement des patients / Occupation des structures de soins)",""
"032","2026-06-15","Sud-Kivu",10,,,31.3,7,,,,"occupancy table (Mouvement des patients / Occupation des structures de soins)",""
"033","2026-06-16","Ituri",318,,,96.4,47,,,,"occupancy table (Mouvement des patients / Occupation des structures de soins)",""
"033","2026-06-16","Nord-Kivu",46,,,64.8,11,,,,"occupancy table (Mouvement des patients / Occupation des structures de soins)",""
"033","2026-06-16","Sud-Kivu",15,,,46.9,9,,,,"occupancy table (Mouvement des patients / Occupation des structures de soins)",""
"034","2026-06-17","Ituri",335,,,99.1,61,,,,"occupancy table (Mouvement des patients / Occupation des structures de soins)",""
"034","2026-06-17","Nord-Kivu",48,,,67.6,6,,,,"occupancy table (Mouvement des patients / Occupation des structures de soins)",""
"035","2026-06-18","Ituri",349,,,103.3,53,,,,"occupancy table (Mouvement des patients / Occupation des structures de soins)",""
"035","2026-06-18","Nord-Kivu",56,,,78.9,8,,,,"occupancy table (Mouvement des patients / Occupation des structures de soins)",""
"035","2026-06-18","Sud-Kivu",11,,,34.4,9,,,,"occupancy table (Mouvement des patients / Occupation des structures de soins)",""
"036","2026-06-19","Ituri",307,,,90.8,59,,,,"occupancy table (Mouvement des patients / Occupation des structures de soins)",""
"036","2026-06-19","Nord-Kivu",54,,,76.1,6,,,,"occupancy table (Mouvement des patients / Occupation des structures de soins)",""
"037","2026-06-20","Ituri",302,,,89.3,62,,,,"occupancy table (Mouvement des patients / Occupation des structures de soins)",""
"037","2026-06-20","Nord-Kivu",52,,,73.2,4,,,,"occupancy table (Mouvement des patients / Occupation des structures de soins)",""
"037","2026-06-20","Sud-Kivu",11,,,34.4,1,,,,"occupancy table (Mouvement des patients / Occupation des structures de soins)",""
"038","2026-06-21","Ituri",298,,,88.2,60,,,,"occupancy table (Mouvement des patients / Occupation des structures de soins)",""
"038","2026-06-21","Nord-Kivu",63,,,88.7,7,,,,"occupancy table (Mouvement des patients / Occupation des structures de soins)",""
"038","2026-06-21","Sud-Kivu",10,,,31.3,3,,,,"occupancy table (Mouvement des patients / Occupation des structures de soins)",""
"039","2026-06-22","Ituri",321,,,87.0,57,,,,"occupancy table (Mouvement des patients / Occupation des structures de soins)",""
"039","2026-06-22","Nord-Kivu",56,,,54.4,36,,,,"occupancy table (Mouvement des patients / Occupation des structures de soins)",""
"039","2026-06-22","Sud-Kivu",10,,,31.3,0,,,,"occupancy table (Mouvement des patients / Occupation des structures de soins)",""
"040","2026-06-23","Ituri",337,,,91.3,46,,,,"occupancy table (Mouvement des patients / Occupation des structures de soins)",""
"040","2026-06-23","Nord-Kivu",59,,,57.3,8,,,,"occupancy table (Mouvement des patients / Occupation des structures de soins)",""
"040","2026-06-23","Sud-Kivu",12,,,37.5,7,,,,"occupancy table (Mouvement des patients / Occupation des structures de soins)",""
"041","2026-06-24","Ituri",313,,,85.3,59,,,,"occupancy table (Mouvement des patients / Occupation des structures de soins)",""
"041","2026-06-24","Nord-Kivu",59,,,57.3,8,,,,"occupancy table (Mouvement des patients / Occupation des structures de soins)",""
"041","2026-06-24","Sud-Kivu",13,,,29.5,6,,,,"occupancy table (Mouvement des patients / Occupation des structures de soins)",""
"042","2026-06-25","Ituri",334,,,89.8,60,,,,"occupancy table (Mouvement des patients / Occupation des structures de soins)",""
"042","2026-06-25","Nord-Kivu",68,,,66.0,12,,,,"occupancy table (Mouvement des patients / Occupation des structures de soins)",""
"042","2026-06-25","Sud-Kivu",17,,,38.6,4,,,,"occupancy table (Mouvement des patients / Occupation des structures de soins)",""
"044","2026-06-27","Ituri",338,,,90.9,50,,,,"occupancy table (Mouvement des patients / Occupation des structures de soins)",""
"044","2026-06-27","Nord-Kivu",143,,,138.8,20,,,,"occupancy table (Mouvement des patients / Occupation des structures de soins)",""
"044","2026-06-27","Sud-Kivu",21,,,47.7,4,,,,"occupancy table (Mouvement des patients / Occupation des structures de soins)",""
"046","2026-06-29","Ituri",451,,,102.0,68,,,,"occupancy table (Mouvement des patients / Occupation des structures de soins)",""
"046","2026-06-29","Nord-Kivu",135,,,125.0,11,,,,"occupancy table (Mouvement des patients / Occupation des structures de soins)",""
