sitrep,report_date,province,patients_isolated,patients_isolated_normed,beds,occupancy_rate_pct,admissions_24h,discharges_24h,recovered_24h,deaths_incare_24h,source_section,quote
"046","2026-06-29","Sud-Kivu",23,,,51.1,3,,,,"occupancy table (Mouvement des patients / Occupation des structures de soins)",""
"049","2026-07-02","Ituri",462,,,90.0,51,,,,"occupancy table (Mouvement des patients / Occupation des structures de soins)",""
"049","2026-07-02","Nord-Kivu",147,,,136.0,21,,,,"occupancy table (Mouvement des patients / Occupation des structures de soins)",""
"049","2026-07-02","Sud-Kivu",19,,,42.2,0,,,,"occupancy table (Mouvement des patients / Occupation des structures de soins)",""
"052","2026-07-05","Ituri",477,,,89.3,79,,,,"occupancy table (Mouvement des patients / Occupation des structures de soins)",""
"052","2026-07-05","Nord-Kivu",148,,,137.0,19,,,,"occupancy table (Mouvement des patients / Occupation des structures de soins)",""
"052","2026-07-05","Sud-Kivu",21,,,47.7,6,,,,"occupancy table (Mouvement des patients / Occupation des structures de soins)",""
"053","2026-07-06","Ituri",508,,,84.0,69,,,,"occupancy table (Mouvement des patients / Occupation des structures de soins)",""
"053","2026-07-06","Nord-Kivu",148,,,115.0,30,,,,"occupancy table (Mouvement des patients / Occupation des structures de soins)",""
"053","2026-07-06","Sud-Kivu",24,,,53.3,3,,,,"occupancy table (Mouvement des patients / Occupation des structures de soins)",""
"054","2026-07-07","Ituri",518,,,85.0,71,,,,"occupancy table (Mouvement des patients / Occupation des structures de soins)",""
"054","2026-07-07","Nord-Kivu",193,,,137.0,32,,,,"occupancy table (Mouvement des patients / Occupation des structures de soins)",""
"054","2026-07-07","Sud-Kivu",39,,,86.6,15,,,,"occupancy table (Mouvement des patients / Occupation des structures de soins)",""
"055","2026-07-08","Ituri",540,,,87.0,103,,,,"occupancy table (Mouvement des patients / Occupation des structures de soins)",""
"055","2026-07-08","Nord-Kivu",197,,,133.0,44,,,,"occupancy table (Mouvement des patients / Occupation des structures de soins)",""
"055","2026-07-08","Sud-Kivu",27,,,60.0,4,,,,"occupancy table (Mouvement des patients / Occupation des structures de soins)",""
"056","2026-07-09","Ituri",536,,,89.9,43,,,,"occupancy table (Mouvement des patients / Occupation des structures de soins)",""
"056","2026-07-09","Nord-Kivu",225,,,160.0,44,,,,"occupancy table (Mouvement des patients / Occupation des structures de soins)",""
"056","2026-07-09","Sud-Kivu",19,,,42.2,2,,,,"occupancy table (Mouvement des patients / Occupation des structures de soins)",""
"058","2026-07-11","Ituri",535,,,87.0,67,,,,"occupancy table (Mouvement des patients / Occupation des structures de soins)",""
"058","2026-07-11","Nord-Kivu",188,,,129.6,21,,,,"occupancy table (Mouvement des patients / Occupation des structures de soins)",""
"058","2026-07-11","Sud-Kivu",30,,,66.6,6,,,,"occupancy table (Mouvement des patients / Occupation des structures de soins)",""
"059","2026-07-12","Ituri",549,,,82.1,85,,,,"occupancy table (Mouvement des patients / Occupation des structures de soins)",""
"059","2026-07-12","Nord-Kivu",170,,,117.2,12,,,,"occupancy table (Mouvement des patients / Occupation des structures de soins)",""
"059","2026-07-12","Sud-Kivu",17,,,,24,,,,"occupancy table (Mouvement des patients / Occupation des structures de soins)",""
"060","2026-07-13","Ituri",553,,,82.7,85,,,,"occupancy table (Mouvement des patients / Occupation des structures de soins)",""
"060","2026-07-13","Nord-Kivu",170,,,120.6,12,,,,"occupancy table (Mouvement des patients / Occupation des structures de soins)",""
"060","2026-07-13","Sud-Kivu",27,,,60.0,4,,,,"occupancy table (Mouvement des patients / Occupation des structures de soins)",""
"060","2026-07-13","Haut-Uele",3,,,100.0,2,,,,"occupancy table (Mouvement des patients / Occupation des structures de soins)",""
"061","2026-07-14","Ituri",544,,,78.0,80,,,,"occupancy table (Mouvement des patients / Occupation des structures de soins)",""
"061","2026-07-14","Nord-Kivu",188,,,129.6,52,,,,"occupancy table (Mouvement des patients / Occupation des structures de soins)",""
"061","2026-07-14","Tshopo",4,,,60.0,1,,,,"occupancy table (Mouvement des patients / Occupation des structures de soins)",""
"062","2026-07-15","Ituri",549,,693,79.0,84,,,,"occupancy table (Mouvement des patients / Occupation des structures de soins)",""
"062","2026-07-15","Nord-Kivu",171,,141,118.8,39,,,,"occupancy table (Mouvement des patients / Occupation des structures de soins)",""
"062","2026-07-15","Tshopo",5,,12,41.7,1,,,,"occupancy table (Mouvement des patients / Occupation des structures de soins)",""
"064","2026-07-17","Ituri",548,,700,,86,,,,"occupancy table (Mouvement des patients / Occupation des structures de soins)",""
"064","2026-07-17","Nord-Kivu",174,,141,,33,,,,"occupancy table (Mouvement des patients / Occupation des structures de soins)",""
"065","2026-07-18","Ituri",539,,706,76.3,71,,,,"occupancy table (Mouvement des patients / Occupation des structures de soins)",""
"065","2026-07-18","Nord-Kivu",181,,141,123.1,47,,,,"occupancy table (Mouvement des patients / Occupation des structures de soins)",""
"065","2026-07-18","Tshopo",4,,10,40.0,3,,,,"occupancy table (Mouvement des patients / Occupation des structures de soins)",""
"066","2026-07-19","Ituri",553,,798,69.3,70,,,,"occupancy table (Mouvement des patients / Occupation des structures de soins)",""
"066","2026-07-19","Nord-Kivu",181,,141,128.4,38,,,,"occupancy table (Mouvement des patients / Occupation des structures de soins)",""
"067","2026-07-20","Ituri",556,,709,78.4,118,,,,"occupancy table (Mouvement des patients / Occupation des structures de soins)",""
"067","2026-07-20","Nord-Kivu",181,,141,128.4,62,,,,"occupancy table (Mouvement des patients / Occupation des structures de soins)",""
"068","2026-07-21","Ituri",556,,708,78.5,68,,,,"occupancy table (Mouvement des patients / Occupation des structures de soins)",""
"068","2026-07-21","Nord-Kivu",182,,141,129.1,24,,,,"occupancy table (Mouvement des patients / Occupation des structures de soins)",""
"069","2026-07-22","Ituri",551,,709,77.7,90,,,,"occupancy table (Mouvement des patients / Occupation des structures de soins)",""
"069","2026-07-22","Nord-Kivu",168,,141,119.1,36,,,,"occupancy table (Mouvement des patients / Occupation des structures de soins)",""
"069","2026-07-22","Tshopo",3,,8,37.5,0,,,,"occupancy table (Mouvement des patients / Occupation des structures de soins)",""
"070","2026-07-23","Ituri",570,,709,,107,,,,"occupancy table (Mouvement des patients / Occupation des structures de soins)",""
"070","2026-07-23","Nord-Kivu",192,,141,,61,,,,"occupancy table (Mouvement des patients / Occupation des structures de soins)",""
"070","2026-07-23","Tshopo",4,,10,,1,,,,"occupancy table (Mouvement des patients / Occupation des structures de soins)",""
"071","2026-07-24","Ituri",576,,709,81.2,79,,,,"occupancy table (Mouvement des patients / Occupation des structures de soins)",""
"071","2026-07-24","Nord-Kivu",179,,141,126.9,34,,,,"occupancy table (Mouvement des patients / Occupation des structures de soins)",""
"072","2026-07-25","Ituri",602,,800,75.3,102,,,,"occupancy table (Mouvement des patients / Occupation des structures de soins)",""
"072","2026-07-25","Nord-Kivu",171,,141,121.3,49,,,,"occupancy table (Mouvement des patients / Occupation des structures de soins)",""
"073","2026-07-26","Ituri",531,,800,66.4,96,,,,"occupancy table (Mouvement des patients / Occupation des structures de soins)",""
"073","2026-07-26","Nord-Kivu",192,,141,136.2,30,,,,"occupancy table (Mouvement des patients / Occupation des structures de soins)",""
"074","2026-07-27","Ituri",544,,808,67.3,92,,,,"occupancy table (Mouvement des patients / Occupation des structures de soins)",""
"074","2026-07-27","Nord-Kivu",189,,141,134.0,48,,,,"occupancy table (Mouvement des patients / Occupation des structures de soins)",""
"077","2026-07-30","Ituri",523,,820,63.8,58,,,,"occupancy table (Mouvement des patients / Occupation des structures de soins)",""
"077","2026-07-30","Nord-Kivu",202,,141,143.3,53,,,,"occupancy table (Mouvement des patients / Occupation des structures de soins)",""
"077","2026-07-30","Haut-Uele",22,,68,32.4,7,,,,"occupancy table (Mouvement des patients / Occupation des structures de soins)",""
"077","2026-07-30","Tshopo",1,,20,5.0,0,,,,"occupancy table (Mouvement des patients / Occupation des structures de soins)",""
"078","2026-07-31","Ituri",525,,821,63.9,73,,,,"occupancy table (Mouvement des patients / Occupation des structures de soins)",""
"078","2026-07-31","Nord-Kivu",196,,141,139.0,47,,,,"occupancy table (Mouvement des patients / Occupation des structures de soins)",""
"078","2026-07-31","Haut-Uele",37,,68,54.4,,,,,"occupancy table (Mouvement des patients / Occupation des structures de soins)",""
"078","2026-07-31","Tshopo",2,,20,10.0,1,,,,"occupancy table (Mouvement des patients / Occupation des structures de soins)",""
"079","2026-08-01","Ituri",476,,821,58.0,61,,,,"occupancy table (Mouvement des patients / Occupation des structures de soins)",""
"079","2026-08-01","Nord-Kivu",181,,141,128.4,44,,,,"occupancy table (Mouvement des patients / Occupation des structures de soins)",""
"079","2026-08-01","Haut-Uele",31,,68,45.6,16,,,,"occupancy table (Mouvement des patients / Occupation des structures de soins)",""
"079","2026-08-01","Tshopo",2,,20,10.0,1,,,,"occupancy table (Mouvement des patients / Occupation des structures de soins)",""
"080","2026-08-02","Ituri",468,,821,57.0,70,,,,"occupancy table (Mouvement des patients / Occupation des structures de soins)",""
"080","2026-08-02","Nord-Kivu",186,,141,131.9,39,,,,"occupancy table (Mouvement des patients / Occupation des structures de soins)",""
"080","2026-08-02","Haut-Uele",31,,68,45.6,16,,,,"occupancy table (Mouvement des patients / Occupation des structures de soins)",""
"080","2026-08-02","Tshopo",2,,20,10.0,,,,,"occupancy table (Mouvement des patients / Occupation des structures de soins)",""
"080","2026-08-02","Sud-Kivu",20,,,,22,,,,"occupancy table (Mouvement des patients / Occupation des structures de soins)",""
"081","2026-08-03","Ituri",471,,,,,,21,,"PECH two-column box","21 nouveaux gueris ; 471 patients en isolement"
"081","2026-08-03","Nord-Kivu",196,,141,,4,9,0,2,"PECH two-column box","4 admissions de confirmes et 18 de suspects pour 2 deces et 9 sorties non-cas, aucun gueri ; 196 malades en isolement en fin de journee (27 confirmes, 169 suspects) pour 141 lits. mission d'evaluation au cte de katwa, a l'hopital matanda et au cug. sur le volet nutritionnel, recrutement de 27 nutrit"
"081","2026-08-03","Tshopo",3,,20,,1,,,,"PECH two-column box","une nouvelle admission — une suspecte de 13 ans au ct de l'hc kisangani — pour 3 malades en isolement en fin de journee (1 confirme, 2 suspects) sur 20 lits (15,0 %) ; poursuite des traitements experimentaux chez 2 contacts a haut risque de ppl a madula, dont un decharge, et chez les contacts pr"
"081","2026-08-03","Haut-Uele",31,,68,,,,,,"PECH two-column box","31 malades en isolement en fin de journee pour 68 lits (45,6 %) ; le deck du jour ne presente aucun tableau de prise en charge, les mouvements d'admissions et de sorties ne sont donc pas documentes. quatre suspects ont ete transferes au ct/cte d'isiro et trois suspects de l'as babonde evacues vers l"
"082","2026-08-04","Ituri",468,,,,,,25,,"PECH two-column box","25 nouveaux gueris ; 468 patients en isolement"
"082","2026-08-04","Nord-Kivu",186,,,,11,58,2,6,"PECH two-column box","11 admissions de confirmes et 43 de suspects, pour 2 gueris (katwa et butembo), 6 deces et 58 sorties non-cas ; 186 malades en isolement en fin de journee (26 confirmes, 160 suspects). le cumul provincial atteint 187 cas admis au cte/ct, 67 deces et 18 perdus de vue, pour une mortalite intra-cte de "
"082","2026-08-04","Tshopo",,,,,1,,,,"PECH two-column box","une nouvelle admission — une suspecte de 13 ans au ct de l'hc kisangani, arrivee de nia-nia le 27 juillet"
"083","2026-08-05","Ituri",468,,833,,,,15,,"PECH two-column box","15 nouveaux gueris ; 468 patients en isolement pour 833 lits (56 %), dont 271 confirmes et 197 suspects, avec 55 cas severes ou critiques ; appui nutritionnel : 1 045 repas chauds servis dont 760 aux contacts, 121 aux confirmes, 111 aux suspects et 53 aux ppl, ainsi que 7 enfants de moins de 6 mois "
"083","2026-08-05","Nord-Kivu",205,,,,8,,0,5,"PECH two-column box","8 admissions de cas confirmes et 48 de suspects, aucun gueri, 5 deces et 34 non-cas ; 205 malades en hospitalisation (173 suspects et 32 confirmes). le cumul atteint 186 cas admis en cte-ct, 67 deces et 71 gueris, pour une mortalite intra-cte de 36 %. deces du cas confirme de lubero ; evaluation du "
"083","2026-08-05","Tshopo",,,,,2,,,,"PECH two-column box","deux nouvelles admissions, celle du cas confirme de l'as de baego (zs de bafwasende) ramene au cte de l'hc kisangani lors d'une descente conjointe, et celle d'un suspect transfere de rekapi. le cumul provincial s'etablit a 6 cas confirmes hospitalises dont 2 deces, 1 gueri et 2 en cours de traitemen"
"084","2026-08-06","Ituri",488,,833,,,,,,"Continuité des soins / Prise en charge holistique section","29 ambulances etaient affectees a la riposte, dont 24 disponibles. au total, 45 courses ont ete realisees avec succes, permettant l'evacuation de 45 patients. l'occupation des structures de prise en charge atteint 488 lits sur 833 (59 %)."
"085","2026-08-07","Ituri",595,,860,,85,73,14,,"Continuité des soins / Prise en charge holistique section","29 ambulances etaient affectees a la riposte, dont 25 disponibles ; 43 courses realisees, dont 42 avec succes, pour 51 patients evacues. les cte/ct ont enregistre 85 admissions et 73 sorties, dont 14 gueris ; l'occupation atteint 595 patients pour 860 lits (69,2"
"085","2026-08-07","Nord-Kivu",,,,,37,,4,8,"Continuité des soins / Prise en charge holistique section","247 admissions cumulees dans les cte/ct, dont 200 cas confirmes, pour une mortalite intra-cte de 39 % ; 37 admissions, 4 gueris et 8 deces notifies ce jour."
"086","2026-08-08","Ituri",501,,840,,73,82,21,,"Continuité des soins / Prise en charge holistique section","29 ambulances etaient affectees a la riposte, dont 26 disponibles ; 28 courses realisees, dont 26 avec succes, pour 29 patients evacues. les cte/ct ont enregistre 73 admissions et 82 sorties, dont 21 gueris ; l'occupation atteint 501 patients pour 840 lits (60"
"086","2026-08-08","Nord-Kivu",,,,,66,,0,6,"Continuité des soins / Prise en charge holistique section","239 admissions cumulees dans les cte/ct, dont 208 cas confirmes, pour une mortalite intra-cte de 39 % ; 66 admissions, aucun gueri ce jour tandis que 6 deces intra-cte ont ete rapporte."
"087","2026-08-09","Ituri",508,,840,,82,75,17,,"Continuité des soins / Prise en charge holistique section","30 ambulances etaient affectees a la riposte, dont 26 disponibles ; 34 courses realisees, dont 32 avec succes, pour 36 patients evacues. les cte/ct ont enregistre 82 admissions et 75 sorties, dont 17 gueris ; l'occupation atteint 508 patients pour 840 lits (61%) 4 specifiquement en ituri, avec satur"
"087","2026-08-09","Nord-Kivu",,,,,48,,3,5,"Continuité des soins / Prise en charge holistique section","232 admissions cumulees dans les cte/ct, dont 212 cas confirmes, pour une mortalite intra-cte de 39 % ; 48 admissions et 3 gueris ce jour tandis que 5 deces intra- cte ont ete rapportes."
"088","2026-08-10","Ituri",417,,845,,78,63,16,,"Continuité des soins / Prise en charge holistique section","26 ambulances disponibles sur 30 affectees a la riposte, 38 courses realisees, dont 32 avec succes, pour 37 patients evacues. les cte/ct ont enregistre 78 admissions et 63 sorties, dont 16 gueris au cours des dernieres 24h ; l'occupation atteint 417 patients pour 845 lits (49,3%) specifiquement en i"
"088","2026-08-10","Nord-Kivu",,,,,47,,1,7,"Continuité des soins / Prise en charge holistique section","215 admissions cumulees dans les cte/ct, dont 212 cas confirmes, pour une mortalite intra-cte de 40 % ; 47 admissions et 1 gueri ce jour tandis que 7 deces intra- cte ont ete rapportes."
"089","2026-08-11","Ituri",375,,845,,52,,29,,"Continuité des soins / Prise en charge holistique section","31 ambulances disponibles sur 33 affectees a la riposte, 30 courses realisees avec succes (100 %). les cte/ct ont enregistre 52 admissions et 29 gueris au cours des dernieres 24h ; l'occupation atteint 375 patients pour 845 lits (44,4%) specifiquement en ituri, avec saturation des cte de rwampara, b"
"089","2026-08-11","Nord-Kivu",176,,,,52,,2,6,"Continuité des soins / Prise en charge holistique section","219 admissions cumulees dans les cte/ct, pour une mortalite intra-cte de 42 % ; 52 admissions du jour (4 confirmes et 48 suspects), 2 gueris et 6 deces intra-cte, pour 176 malades en hospitalisation (25 confirmes et 151 suspects)."
"090","2026-08-12","Ituri",438,,973,,83,,42,,"Continuité des soins / Prise en charge holistique section","30 ambulances sont disponibles sur 33 affectees a la riposte : 22 courses realisees avec succes (100 %). les cte/ct ont enregistre 83 admissions et 42 gueris au cours des dernieres 24h ; l’occupation atteint 438 patients pour 973 lits (45 %), soit 179 confirmes sur 496 lits (36,1 %) et 259 suspect"
"090","2026-08-12","Nord-Kivu",180,,,,63,,5,10,"Continuité des soins / Prise en charge holistique section","231 admissions cumulees dans les cte/ct ; 63 admissions du jour (6 confirmes et 57 suspects), 5 gueris, 10 deces et 36 suspects non-cas. ainsi, 180 malades en hospitalisation (24 confirmes et 146 suspects)"
"090","2026-08-12","Haut-Uele",53,,,,11,,4,,"Continuité des soins / Prise en charge holistique section","11 nouvelles admissions (1 confirme et 10 suspects) ont ete enregistrees a boma mangbetu et 4 gueris ont ete decharges au cth d’isiro ; 53 patients sont hospitalises"
"090","2026-08-12","Sud-Kivu",11,,,,,,,,"Continuité des soins / Prise en charge holistique section","11 cas suspects sont suivis en hospitalisation (7 a katana et 4 a miti- murhesa)."
"091","2026-08-13","Ituri",528,,985,,108,,11,,"Continuité des soins / Prise en charge holistique section","29 ambulances sont disponibles sur 32 affectees a la riposte : 58 courses realisees avec succes (100 %). les cte/ct ont enregistre 108 admissions et 11 gueris au cours des dernieres 24h ; l’occupation atteint 528 patients pour 985 lits (53,6 %), soit 245 confirmes sur 489 lits (50,1 %) et 283 susp"
"091","2026-08-13","Nord-Kivu",,,,,48,34,0,3,"Continuité des soins / Prise en charge holistique section","48 nouvelles admissions ont ete enregistrees (2 confirmes au cte de katwa et 46 suspects), pour 34 sorties dont 31 non-cas, aucun gueri et 3 deces parmi les suspects 6"
"091","2026-08-13","Haut-Uele",56,,84,,4,,0,,"Continuité des soins / Prise en charge holistique section","4 nouvelles admissions ont ete enregistrees (2 confirmes a isiro et 2 suspects) et aucun gueri n’a ete decharge ; 56 patients sont hospitalises (33 confirmes et 23 suspects) pour 84 lits montes (46 pour les confirmes et 38 pour les suspects), avec depassement de la capacite d’accueil du centre d"
"091","2026-08-13","Sud-Kivu",6,,,,,,,,"Continuité des soins / Prise en charge holistique section","6 cas suspects sont suivis a l’isolement de la zs de katana."
"092","2026-08-14","Ituri",545,,991,,88,83,27,,"Continuité des soins / Prise en charge holistique section","28 ambulances sont disponibles sur 32 affectees a la riposte : 43 courses realisees avec succes (100 %). les cte/ct ont enregistre 88 admissions, 27 gueris et 83 sorties au cours des dernieres 24h ; l’occupation atteint 545 patients pour 991 lits (55,0 %), soit 243 confirmes sur 497 lits (48,9 %) "
"092","2026-08-14","Nord-Kivu",165,,206,94.3,56,42,3,2,"Continuité des soins / Prise en charge holistique section","56 nouvelles admissions ont ete enregistrees (7 confirmes, dont 6 au cte de katwa et 1 a vuhovi, et 49 suspects), pour 42 sorties dont 37 non-cas, 3 gueris et 2 deces confirmes (1 a katwa et 1 a vuhovi). ainsi, 165 malades sont en hospitalisation (31 confirmes et 134 suspects) pour 206 lits (80,1 %)"
