release,made_date,stream,horizon,target_date,fit,crps,log_crps,dispersion,overprediction,underprediction,coverage_50,coverage_90,bias,n_samples,log_rel_to_baseline
results-1359,2026-07-23,confirmed cases,7,2026-07-30,baseline,36.524289585641164,0.0616110751678086,16.323177394883242,0.0,20.20111219075792,false,true,-0.5900000000000001,200,1.0
results-1359,2026-07-23,confirmed cases,7,2026-07-30,confirmed,100.25482499999998,0.200508578605894,86.60482499999998,0.0,13.65,true,true,-0.24,200,3.2544
results-1359,2026-07-23,confirmed cases,7,2026-07-30,joint,82.57794999999999,0.14176613525268827,80.08795,0.0,2.49,true,true,-0.1100000000000001,200,2.301
results-1359,2026-07-23,confirmed cases,14,2026-08-06,baseline,208.40378876019423,0.20471484045361638,26.379810398479876,0.0,182.02397836171454,false,false,-0.99,200,1.0
results-1359,2026-07-23,confirmed cases,14,2026-08-06,confirmed,187.39707500000003,0.17319089559281065,186.84707500000002,0.0,0.55,true,true,-0.030000000000000027,200,0.846
results-1359,2026-07-23,confirmed cases,14,2026-08-06,joint,201.62802499999998,0.15642031886592944,190.828025,10.8,0.0,true,true,0.15000000000000002,200,0.7641
results-1359,2026-07-23,confirmed cases,21,2026-08-13,baseline,491.0050443202015,0.3330576558727366,35.636115721441385,0.0,455.3689285987594,false,false,-1.0,200,1.0
results-1359,2026-07-23,confirmed cases,21,2026-08-13,confirmed,372.3018750000001,0.20661798120653907,371.49187499999994,0.81,0.0,true,true,0.040000000000000036,200,0.6204
results-1359,2026-07-23,confirmed cases,21,2026-08-13,joint,377.342725,0.17298897521961704,333.662725,43.68000000000001,0.0,true,true,0.22999999999999998,200,0.5194
results-1359,2026-07-23,confirmed cases,28,2026-08-20,baseline,817.6924668604357,0.41943706677106346,37.52820384302742,0.0,780.1642630174085,false,false,-1.0,200,1.0
results-1359,2026-07-23,confirmed cases,28,2026-08-20,confirmed,651.2986000000001,0.2443830480322038,632.7586000000001,18.540000000000003,0.0,true,true,0.10999999999999999,200,0.5826
results-1359,2026-07-23,confirmed cases,28,2026-08-20,joint,680.738875,0.20424634239664918,592.5188750000002,88.22000000000001,0.0,true,true,0.24,200,0.487
